,domestic,international,worldwide,budget,genres,title
/release/rl3696592385/?ref_=bo_yld_table_1,229242989,53000000.0,282242989,30000000.0,"['Action', 'Comedy', 'Fantasy']",Ghostbusters
/release/rl2455471617/?ref_=bo_yld_table_2,179870271,153237000.0,333107271,28000000.0,"['Action', 'Adventure']",Indiana Jones and the Temple of Doom
/release/rl3126298113/?ref_=bo_yld_table_3,148168459,,148168459,,"['Comedy', 'Fantasy', 'Horror']",Gremlins
/release/rl3378349569/?ref_=bo_yld_table_4,90815558,,90815558,,"['Action', 'Drama', 'Family', 'Sport']",The Karate Kid
/release/rl158041601/?ref_=bo_yld_table_5,81198894,,81198894,,['Comedy'],Police Academy
/release/rl2001896961/?ref_=bo_yld_table_6,80035402,,80035402,8200000.0,"['Drama', 'Music', 'Romance']",Footloose
/release/rl3880027649/?ref_=bo_yld_table_7,234760478,81600000.0,316360478,,"['Action', 'Comedy', 'Crime', 'Thriller']",Beverly Hills Cop
/release/rl3010692609/?ref_=bo_yld_table_8,76471046,,76471046,,"['Action', 'Adventure', 'Sci-Fi']",Star Trek III: The Search for Spock
/release/rl3245704705/?ref_=bo_yld_table_9,108423489,,108423489,8000000.0,"['Comedy', 'Drama']",Terms of Endearment
/release/rl2792130049/?ref_=bo_yld_table_10,76572238,10000000.0,86572238,,"['Action', 'Adventure', 'Comedy', 'Romance']",Romancing the Stone
/release/rl494110209/?ref_=bo_yld_table_11,69821334,,69821334,,"['Comedy', 'Fantasy', 'Romance']",Splash
/release/rl1533707777/?ref_=bo_yld_table_12,68392977,,68392977,,"['Drama', 'Music', 'Romance']",Purple Rain
/release/rl2155120129/?ref_=bo_yld_table_13,48143579,,48143579,,"['Crime', 'Mystery', 'Thriller']",Tightrope
/release/rl2388952577/?ref_=bo_yld_table_14,47951979,,47951979,,"['Drama', 'Sport']",The Natural
/release/rl3210184193/?ref_=bo_yld_table_15,45858563,,45858563,,"['Adventure', 'Drama']",Greystoke
/release/rl3563947521/?ref_=bo_yld_table_16,40874452,,40874452,,['Comedy'],Revenge of the Nerds
/release/rl1028228609/?ref_=bo_yld_table_17,38682707,,38682707,,"['Comedy', 'Drama', 'Music', 'Romance']",Breakin'
/release/rl3628434945/?ref_=bo_yld_table_18,38435947,,38435947,,['Comedy'],Bachelor Party
/release/rl1768785409/?ref_=bo_yld_table_19,38376497,,38376497,,"['Action', 'Drama']",Red Dawn
/release/rl457410049/?ref_=bo_yld_table_20,36403064,,36403064,,"['Comedy', 'Fantasy', 'Romance']",All of Me
/release/rl3480585729/?ref_=bo_yld_table_21,38371200,40000000.0,78371200,6400000.0,"['Action', 'Sci-Fi']",The Terminator
/release/rl3327297025/?ref_=bo_yld_table_22,32980880,,32980880,,"['Horror', 'Thriller']",Friday the 13th: The Final Chapter
/release/rl4182410753/?ref_=bo_yld_table_23,31042035,,31042035,,"['Action', 'Adventure', 'Fantasy']",Conan the Destroyer
/release/rl3111290369/?ref_=bo_yld_table_24,67642693,,67642693,,"['Action', 'Crime', 'Thriller']",Sudden Impact
/release/rl1450280449/?ref_=bo_yld_table_25,35615609,,35615609,,"['Biography', 'Drama', 'History', 'Thriller']",Silkwood
/release/rl2506065409/?ref_=bo_yld_table_26,28733290,,28733290,,"['Action', 'Adventure', 'Sci-Fi']",The Last Starfighter
/release/rl3647505921/?ref_=bo_yld_table_27,34901614,,34901614,,['Drama'],Places in the Heart
/release/rl256411137/?ref_=bo_yld_table_28,28078073,,28078073,,"['Action', 'Comedy']",Cannonball Run II
/release/rl2356512257/?ref_=bo_yld_table_29,27774237,,27774237,,"['Comedy', 'Drama']",Teachers
/release/rl1782679041/?ref_=bo_yld_table_30,40400657,,40400657,,"['Adventure', 'Mystery', 'Sci-Fi', 'Thriller']",2010
/release/rl3244656129/?ref_=bo_yld_table_31,25534703,,25534703,,"['Adventure', 'Comedy', 'Drama', 'Family', 'Musical', 'Romance']",The Muppets Take Manhattan
/release/rl4251944449/?ref_=bo_yld_table_32,44668798,20476000.0,65144798,,"['Crime', 'Drama']",Scarface
/release/rl729449985/?ref_=bo_yld_table_33,25308147,,25308147,,"['Comedy', 'Romance']",The Woman in Red
/release/rl1130726913/?ref_=bo_yld_table_34,25068724,,25068724,,"['Comedy', 'Drama', 'Romance']",Moscow on the Hudson
/release/rl3729491457/?ref_=bo_yld_table_35,38348988,,38348988,,"['Action', 'Comedy', 'Crime']",City Heat
/release/rl3078260225/?ref_=bo_yld_table_36,40218899,,40218899,,"['Drama', 'Musical', 'Romance']",Yentl
/release/rl222397953/?ref_=bo_yld_table_37,23686027,,23686027,,"['Comedy', 'Romance']",Sixteen Candles
/release/rl2673706497/?ref_=bo_yld_table_38,23456945,,23456945,,"['Adventure', 'Animation', 'Family', 'Musical']",The Jungle Book
/release/rl2453702145/?ref_=bo_yld_table_39,21689062,,21689062,,"['Action', 'Adventure', 'Crime', 'Drama', 'Romance', 'Thriller']",Against All Odds
/release/rl1398965761/?ref_=bo_yld_table_40,22812411,,22812411,,"['Action', 'Adventure', 'Drama', 'Thriller', 'War']",Missing in Action
/release/rl3480061441/?ref_=bo_yld_table_41,21435321,,21435321,,"['Comedy', 'Music']",Rhinestone
/release/rl3630466561/?ref_=bo_yld_table_42,29600000,,29600000,,"['Adventure', 'Drama']",Never Cry Wolf
/release/rl293045761/?ref_=bo_yld_table_43,20458340,,20458340,,"['Comedy', 'Music']",Top Secret!
/release/rl374900225/?ref_=bo_yld_table_44,20307325,,20307325,,"['Comedy', 'Romance', 'Sport']",Hot Dog... The Movie
/release/rl3865347585/?ref_=bo_yld_table_45,20158808,,20158808,,"['Adventure', 'Drama', 'Family', 'Fantasy']",The NeverEnding Story
/release/rl4252403201/?ref_=bo_yld_table_46,19928200,,19928200,,"['Comedy', 'Music', 'Romance']",Unfaithfully Yours
/release/rl1902544385/?ref_=bo_yld_table_47,21538850,,21538850,,"['Comedy', 'Fantasy']","Oh, God! You Devil"
/release/rl2826339841/?ref_=bo_yld_table_48,30503151,,30503151,,"['Action', 'Drama', 'Thriller', 'War']",Uncommon Valor
/release/rl2470741505/?ref_=bo_yld_table_49,19265302,,19265302,,"['Comedy', 'War']",Best Defense
/release/rl3629024769/?ref_=bo_yld_table_50,30925690,,30925690,40000000.0,"['Action', 'Adventure', 'Sci-Fi']",Dune
/release/rl1735427585/?ref_=bo_yld_table_51,21821347,,21821347,,"['Crime', 'Drama', 'Mystery', 'War']",A Soldier's Story
/release/rl4198991361/?ref_=bo_yld_table_52,18644570,,18644570,,"['Comedy', 'Romance']",Blame It on Rio
/release/rl1734313473/?ref_=bo_yld_table_53,17513452,,17513452,,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Lassiter
/release/rl3577972225/?ref_=bo_yld_table_54,17488564,,17488564,,"['Action', 'Crime', 'Thriller']",Angel
/release/rl2371061249/?ref_=bo_yld_table_55,17080167,,17080167,,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",Firestarter
/release/rl1866696193/?ref_=bo_yld_table_56,51564280,,51564280,,"['Biography', 'Drama', 'History', 'Music']",Amadeus
/release/rl658802177/?ref_=bo_yld_table_57,16595791,,16595791,,"['Drama', 'Music']",Beat Street
/release/rl3749414401/?ref_=bo_yld_table_58,21058033,,21058033,,['Comedy'],Weekend Pass
/release/rl811304449/?ref_=bo_yld_table_59,14255801,,14255801,,"['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']",The Ice Pirates
/release/rl1885832705/?ref_=bo_yld_table_60,14418922,,14418922,,"['Comedy', 'Horror', 'Sci-Fi']",Night of the Comet
