,domestic,international,worldwide,budget,genres,title
/release/rl1987806721/?ref_=bo_yld_table_1,156452370,173351588.0,329803958,70000000.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Mystery']",Who Framed Roger Rabbit
/release/rl3058337281/?ref_=bo_yld_table_2,128152301,160600000.0,288752301,,"['Comedy', 'Romance']",Coming to America
/release/rl3713304065/?ref_=bo_yld_table_3,123922370,,123922370,,"['Biography', 'Comedy', 'Drama', 'War']","Good Morning, Vietnam"
/release/rl692553217/?ref_=bo_yld_table_4,114968774,36700000.0,151668774,,"['Comedy', 'Drama', 'Fantasy', 'Romance']",Big
/release/rl3863905793/?ref_=bo_yld_table_5,109306210,130300000.0,239606210,,"['Action', 'Adventure', 'Comedy']",Crocodile Dundee II
/release/rl3061089793/?ref_=bo_yld_table_6,167780960,,167780960,11000000.0,"['Comedy', 'Drama', 'Family']",Three Men and a Baby
/release/rl2991556097/?ref_=bo_yld_table_7,83008852,57759104.0,140767956,28000000.0,"['Action', 'Thriller']",Die Hard
/release/rl1550157313/?ref_=bo_yld_table_8,80640528,,80640528,,"['Comedy', 'Drama', 'Romance']",Moonstruck
/release/rl1800046081/?ref_=bo_yld_table_9,78222753,93282028.0,171504781,,"['Comedy', 'Drama', 'Romance']",Cocktail
/release/rl1849984513/?ref_=bo_yld_table_10,73707461,,73707461,,"['Comedy', 'Fantasy']",Beetlejuice
/release/rl3948119553/?ref_=bo_yld_table_11,62493712,,62493712,,"['Comedy', 'Crime']",A Fish Called Wanda
/release/rl2910553601/?ref_=bo_yld_table_12,57269863,,57269863,,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",Willow
/release/rl3714745857/?ref_=bo_yld_table_13,53715611,135300000.0,189015611,63000000.0,"['Action', 'Adventure']",Rambo III
/release/rl3245311489/?ref_=bo_yld_table_14,60328558,,60328558,,"['Comedy', 'Drama', 'Fantasy', 'Romance']",Scrooged
/release/rl2286519809/?ref_=bo_yld_table_15,50888729,,50888729,,"['Comedy', 'Romance', 'Sport']",Bull Durham
/release/rl2021033473/?ref_=bo_yld_table_16,111938388,104676000.0,216614388,15000000.0,"['Comedy', 'Crime']",Twins
/release/rl3176236545/?ref_=bo_yld_table_17,49369899,,49369899,,['Horror'],A Nightmare on Elm Street 4: The Dream Master
/release/rl2991228417/?ref_=bo_yld_table_18,46616067,,46616067,,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller']",Colors
/release/rl4252665345/?ref_=bo_yld_table_19,45661556,,45661556,,"['Action', 'Western']",Young Guns
/release/rl1397196289/?ref_=bo_yld_table_20,43184798,8500000.0,51684798,,"['Comedy', 'Drama']",Biloxi Blues
/release/rl2992932353/?ref_=bo_yld_table_21,78756177,,78756177,,"['Comedy', 'Crime']",The Naked Gun: From the Files of Police Squad!
/release/rl2606204417/?ref_=bo_yld_table_22,41455230,2000000.0,43455230,,['Comedy'],The Great Outdoors
/release/rl642221569/?ref_=bo_yld_table_23,40150487,,40150487,,['Comedy'],Big Business
/release/rl1130333697/?ref_=bo_yld_table_24,43984230,,43984230,,"['Biography', 'Drama', 'History']",The Last Emperor
/release/rl2789574145/?ref_=bo_yld_table_25,39047150,,39047150,,"['Animation', 'Drama', 'Family']",Bambi
/release/rl2875360769/?ref_=bo_yld_table_26,38413606,43200000.0,81613606,,"['Action', 'Comedy', 'Crime', 'Thriller']",Midnight Run
/release/rl2622260737/?ref_=bo_yld_table_27,37903295,,37903295,,"['Action', 'Crime', 'Mystery', 'Thriller']",The Dead Pool
/release/rl1967752705/?ref_=bo_yld_table_28,51249404,16081905.0,67331309,,"['Comedy', 'Drama', 'Romance']",Broadcast News
/release/rl2069857793/?ref_=bo_yld_table_29,48092846,36368000.0,84460846,,"['Adventure', 'Animation', 'Drama', 'Family']",The Land Before Time
/release/rl1701217793/?ref_=bo_yld_table_30,53279055,,53279055,,"['Adventure', 'Animation', 'Comedy', 'Family', 'Musical']",Oliver & Company
/release/rl1651344897/?ref_=bo_yld_table_31,34994648,,34994648,,"['Action', 'Comedy', 'Crime', 'Thriller']",Red Heat
/release/rl1431012865/?ref_=bo_yld_table_32,33244684,10952000.0,44196684,,"['Fantasy', 'Horror', 'Thriller']",Child's Play
/release/rl3999958529/?ref_=bo_yld_table_33,172825435,182000000.0,354825435,25000000.0,['Drama'],Rain Man
/release/rl71337473/?ref_=bo_yld_table_34,32078318,,32078318,,"['Crime', 'Drama']",The Accused
/release/rl762414593/?ref_=bo_yld_table_35,29300090,,29300090,,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",Shoot to Kill
/release/rl3478029825/?ref_=bo_yld_table_36,28202109,,28202109,,"['Comedy', 'Family', 'Fantasy']",Ernest Saves Christmas
/release/rl560301569/?ref_=bo_yld_table_37,57915972,,57915972,,"['Comedy', 'Crime', 'Thriller']",Throw Momma from the Train
/release/rl794002945/?ref_=bo_yld_table_38,156645693,163500000.0,320145693,,"['Drama', 'Thriller']",Fatal Attraction
/release/rl3380184577/?ref_=bo_yld_table_39,43848069,,43848069,,"['Crime', 'Drama']",Wall Street
/release/rl4064577025/?ref_=bo_yld_table_40,25816139,,25816139,,"['Crime', 'Drama', 'Thriller']",Betrayed
/release/rl3530917377/?ref_=bo_yld_table_41,41292551,,41292551,,"['Crime', 'Drama', 'Romance', 'Thriller']",Tequila Sunrise
/release/rl2119534081/?ref_=bo_yld_table_42,25537221,,25537221,,['Comedy'],Funny Farm
/release/rl3275785729/?ref_=bo_yld_table_43,25216243,6938804.0,32155047,,"['Action', 'Sci-Fi']",Alien Nation
/release/rl3344205313/?ref_=bo_yld_table_44,24720479,36429000.0,61149479,,"['Biography', 'Drama']",Gorillas in the Mist: The Adventure of Dian Fossey
/release/rl273778177/?ref_=bo_yld_table_45,50504655,,50504655,,"['Comedy', 'Documentary']",Eddie Murphy: Raw
/release/rl2454881793/?ref_=bo_yld_table_46,23556988,,23556988,,"['Adventure', 'Animation', 'Drama', 'Family']",The Fox and the Hound
/release/rl3109979649/?ref_=bo_yld_table_47,22433275,,22433275,,['Comedy'],License to Drive
/release/rl628196865/?ref_=bo_yld_table_48,21630088,,21630088,,"['Comedy', 'Drama', 'Family', 'Sci-Fi']",Short Circuit 2
/release/rl1315145217/?ref_=bo_yld_table_49,21486757,,21486757,,"['Comedy', 'Crime', 'Romance']",Married to the Mob
/release/rl1986692609/?ref_=bo_yld_table_50,21042667,,21042667,,"['Comedy', 'Drama', 'Romance']",Punchline
/release/rl2758510081/?ref_=bo_yld_table_51,20324096,,20324096,,"['Action', 'Crime', 'Mystery', 'Thriller']",The Presidio
/release/rl2067826177/?ref_=bo_yld_table_52,20256975,,20256975,,"['Action', 'Comedy', 'Crime', 'Thriller']",Action Jackson
/release/rl1064732161/?ref_=bo_yld_table_53,19652638,,19652638,,"['Biography', 'Drama']",Tucker: The Man and His Dream
/release/rl1399752193/?ref_=bo_yld_table_54,19595031,,19595031,,"['Fantasy', 'Horror']",The Serpent and the Rainbow
/release/rl191596033/?ref_=bo_yld_table_55,19510371,,19510371,,"['Comedy', 'Crime']",Police Academy 5: Assignment: Miami Beach
/release/rl3293742593/?ref_=bo_yld_table_56,19170001,,19170001,,"['Horror', 'Thriller']",Friday the 13th Part VII: The New Blood
/release/rl1181648385/?ref_=bo_yld_table_57,18875011,,18875011,,"['Drama', 'Fantasy', 'Horror', 'Thriller']",The Seventh Sign
/release/rl306218497/?ref_=bo_yld_table_58,18869631,,18869631,,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Above the Law
/release/rl3578103297/?ref_=bo_yld_table_59,32945797,32143000.0,65088797,,"['Comedy', 'Family', 'Fantasy', 'Sci-Fi']",*batteries not included
/release/rl2454685185/?ref_=bo_yld_table_60,42039085,,42039085,,"['Comedy', 'Crime']",Dirty Rotten Scoundrels
/release/rl945194497/?ref_=bo_yld_table_61,17768757,,17768757,5000000.0,"['Horror', 'Thriller']",Halloween 4: The Return of Michael Myers
/release/rl4199712257/?ref_=bo_yld_table_62,17637950,,17637950,,"['Crime', 'Drama', 'Mystery', 'Thriller']",Frantic
/release/rl1985840641/?ref_=bo_yld_table_63,17550399,,17550399,,"['Comedy', 'Sport']",Johnny Be Good
/release/rl1330808321/?ref_=bo_yld_table_64,17514553,,17514553,,"['Comedy', 'Drama', 'Romance']",For Keeps?
/release/rl2003404289/?ref_=bo_yld_table_65,26713187,,26713187,,"['Comedy', 'Romance']",Overboard
/release/rl2857207297/?ref_=bo_yld_table_66,16262415,,16262415,,"['Comedy', 'Romance']",Crossing Delancey
/release/rl38372865/?ref_=bo_yld_table_67,16118077,,16118077,,['Drama'],"Bright Lights, Big City"
/release/rl3681453569/?ref_=bo_yld_table_68,16031707,,16031707,,"['Comedy', 'Drama', 'Romance']",She's Having a Baby
/release/rl2606990849/?ref_=bo_yld_table_69,15855828,,15855828,,"['Drama', 'Romance', 'Thriller']",Masquerade
/release/rl1632273921/?ref_=bo_yld_table_70,18924919,6100000.0,25024919,,"['Adventure', 'Comedy', 'Mystery', 'Romance', 'Sci-Fi']",Cocoon: The Return
/release/rl1984398849/?ref_=bo_yld_table_71,15122324,,15122324,,"['Adventure', 'Comedy', 'Romance']",Big Top Pee-wee
/release/rl2655159809/?ref_=bo_yld_table_72,14681192,,14681192,,"['Comedy', 'Romance']",Arthur 2: On the Rocks
/release/rl4017063425/?ref_=bo_yld_table_73,14545844,,14545844,,"['Comedy', 'Drama', 'Musical']",School Daze
/release/rl3395847681/?ref_=bo_yld_table_74,49530280,,49530280,,"['Comedy', 'Drama']","Planes, Trains & Automobiles"
/release/rl2020312577/?ref_=bo_yld_table_75,14114488,,14114488,,"['Horror', 'Thriller']",Poltergeist III
/release/rl1584629249/?ref_=bo_yld_table_76,13994920,,13994920,,"['Biography', 'Drama']",Stand and Deliver
