,domestic,international,worldwide,budget,genres,title
/release/rl2354939393/?ref_=bo_yld_table_1,357067947,555600000.0,912667947,63000000.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Jurassic Park
/release/rl206931457/?ref_=bo_yld_table_2,183875760,185000000.0,368875760,,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",The Fugitive
/release/rl2186511873/?ref_=bo_yld_table_3,158348367,111900000.0,270248367,,"['Drama', 'Mystery', 'Thriller']",The Firm
/release/rl3597764097/?ref_=bo_yld_table_4,126680884,101119000.0,227799884,21000000.0,"['Comedy', 'Drama', 'Romance']",Sleepless in Seattle
/release/rl2085520897/?ref_=bo_yld_table_5,219195243,222090952.0,441286195,25000000.0,"['Comedy', 'Drama', 'Family']",Mrs. Doubtfire
/release/rl2640020993/?ref_=bo_yld_table_6,106614059,160000000.0,266614059,,"['Drama', 'Romance']",Indecent Proposal
/release/rl3881731585/?ref_=bo_yld_table_7,102314823,74682345.0,176997168,40000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",In the Line of Fire
/release/rl4148200961/?ref_=bo_yld_table_8,217350219,286700000.0,504050219,28000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",Aladdin
/release/rl608863745/?ref_=bo_yld_table_9,84049211,170951000.0,255000211,70000000.0,"['Action', 'Adventure', 'Thriller']",Cliffhanger
/release/rl1666418177/?ref_=bo_yld_table_10,141340178,101900000.0,243240178,41000000.0,"['Drama', 'Thriller']",A Few Good Men
/release/rl3696395777/?ref_=bo_yld_table_11,77698625,76000000.0,153698625,,"['Adventure', 'Drama', 'Family']",Free Willy
/release/rl2723644929/?ref_=bo_yld_table_12,70906973,,70906973,,"['Comedy', 'Fantasy', 'Romance']",Groundhog Day
/release/rl1766622721/?ref_=bo_yld_table_13,63270710,,63270710,,"['Comedy', 'Romance']",Dave
