,domestic,international,worldwide,budget,genres,title
/release/rl3396699649/?ref_=bo_yld_table_1,204843345,312106698.0,516950043,102000000.0,"['Action', 'Sci-Fi']",Terminator 2: Judgment Day
/release/rl1567393281/?ref_=bo_yld_table_2,165493908,225000000.0,390493908,48000000.0,"['Action', 'Adventure', 'Drama', 'Romance']",Robin Hood: Prince of Thieves
/release/rl3629745665/?ref_=bo_yld_table_3,285761243,190923432.0,476684675,18000000.0,"['Comedy', 'Family']",Home Alone
/release/rl1500612097/?ref_=bo_yld_table_4,130742922,142000000.0,272742922,19000000.0,"['Crime', 'Drama', 'Thriller']",The Silence of the Lambs
/release/rl3393947137/?ref_=bo_yld_table_5,124033791,55000000.0,179033791,27000000.0,"['Comedy', 'Western']",City Slickers
/release/rl944539137/?ref_=bo_yld_table_6,184208848,240000000.0,424208848,22000000.0,"['Adventure', 'Drama', 'Western']",Dances with Wolves
/release/rl3429991937/?ref_=bo_yld_table_7,101599005,73400000.0,174999005,19000000.0,"['Drama', 'Thriller']",Sleeping with the Enemy
/release/rl1749059073/?ref_=bo_yld_table_8,113502426,78000000.0,191502426,30000000.0,"['Comedy', 'Fantasy']",The Addams Family
/release/rl2976155137/?ref_=bo_yld_table_9,86930411,,86930411,23000000.0,"['Comedy', 'Crime']",The Naked Gun 2½: The Smell of Fear
/release/rl3497297409/?ref_=bo_yld_table_10,78656813,,78656813,25000000.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",Teenage Mutant Ninja Turtles II: The Secret of the Ooze
/release/rl1933936129/?ref_=bo_yld_table_11,77868585,74500000.0,152368585,,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Backdraft
/release/rl2019067393/?ref_=bo_yld_table_12,69467617,111628547.0,181096164,26000000.0,"['Action', 'Comedy']",Hot Shots!
/release/rl4490753/?ref_=bo_yld_table_13,145863363,186043788.0,331907151,25000000.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",Beauty and the Beast
/release/rl911771137/?ref_=bo_yld_table_14,119654823,181200000.0,300854823,70000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Hook
/release/rl2222491137/?ref_=bo_yld_table_15,63707829,,63707829,,['Comedy'],What About Bob?
/release/rl1516013057/?ref_=bo_yld_table_16,91457688,110500000.0,201957688,15000000.0,"['Comedy', 'Crime']",Kindergarten Cop
/release/rl859932161/?ref_=bo_yld_table_17,60830285,,60830285,,"['Adventure', 'Animation', 'Comedy', 'Family']",One Hundred and One Dalmatians
/release/rl2051573249/?ref_=bo_yld_table_18,79091969,103200000.0,182291969,,"['Crime', 'Thriller']",Cape Fear
/release/rl3779495425/?ref_=bo_yld_table_19,57504069,,57504069,6500000.0,"['Crime', 'Drama']",Boyz n the Hood
/release/rl3494872577/?ref_=bo_yld_table_20,54830779,,54830779,,"['Comedy', 'Drama', 'Romance']",Doc Hollywood
/release/rl3061024257/?ref_=bo_yld_table_21,74888996,22000000.0,96888996,,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Star Trek VI: The Undiscovered Country
/release/rl558204417/?ref_=bo_yld_table_22,52096475,,52096475,,"['Biography', 'Drama']",Awakenings
/release/rl3613689345/?ref_=bo_yld_table_23,47624353,,47624353,8000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",New Jack City
/release/rl1097631233/?ref_=bo_yld_table_24,46704056,,46704056,35000000.0,"['Action', 'Adventure', 'Family', 'Sci-Fi']",The Rocketeer
/release/rl376735233/?ref_=bo_yld_table_25,45360915,93163.0,45454078,16500000.0,"['Adventure', 'Crime', 'Drama']",Thelma & Louise
/release/rl594249217/?ref_=bo_yld_table_26,43218387,40313571.0,83531958,,"['Action', 'Crime', 'Thriller']",Point Break
/release/rl3127739905/?ref_=bo_yld_table_27,43001500,,43001500,,"['Drama', 'Romance']",Regarding Henry
/release/rl1885636097/?ref_=bo_yld_table_28,59489799,,59489799,17000000.0,"['Comedy', 'Drama', 'Family', 'Romance']",My Girl
/release/rl3897787905/?ref_=bo_yld_table_29,41895491,,41895491,,"['Comedy', 'Drama', 'Fantasy']",The Fisher King
/release/rl6915585/?ref_=bo_yld_table_30,39673161,,39673161,14000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",Out for Justice
/release/rl1414825473/?ref_=bo_yld_table_31,66666062,70100000.0,136766062,54000000.0,"['Crime', 'Drama']",The Godfather: Part III
/release/rl3528427009/?ref_=bo_yld_table_32,38120905,,38120905,,['Drama'],The Doctor
/release/rl1481082369/?ref_=bo_yld_table_33,38037513,,38037513,,"['Adventure', 'Comedy', 'Fantasy', 'Music', 'Sci-Fi']",Bill & Ted's Bogus Journey
/release/rl3209463297/?ref_=bo_yld_table_34,38016380,,38016380,,"['Crime', 'Drama', 'Mystery', 'Thriller']",Dead Again
/release/rl2003863041/?ref_=bo_yld_table_35,36489888,,36489888,,"['Comedy', 'Romance']",Soapdish
/release/rl4149380609/?ref_=bo_yld_table_36,34872033,,34872033,11000000.0,"['Fantasy', 'Horror']",Freddy's Dead: The Final Nightmare
/release/rl645629441/?ref_=bo_yld_table_37,34793160,,34793160,14000000.0,"['Adventure', 'Drama']",White Fang
/release/rl374244865/?ref_=bo_yld_table_38,34416893,,34416893,,"['Biography', 'Drama', 'Music']",The Doors
/release/rl3160180225/?ref_=bo_yld_table_39,34002045,18485000.0,52487045,,"['Comedy', 'Romance']",King Ralph
/release/rl4132275713/?ref_=bo_yld_table_40,33691313,,33691313,,"['Comedy', 'Drama', 'Family', 'Romance']",Curly Sue
/release/rl3578693121/?ref_=bo_yld_table_41,33669178,48595497.0,82264675,,"['Drama', 'Romance']",Dying Young
/release/rl1600095745/?ref_=bo_yld_table_42,59509925,,59509925,,"['Action', 'Comedy', 'Crime', 'Thriller']",The Last Boy Scout
/release/rl2505934337/?ref_=bo_yld_table_43,32482682,11400000.0,43882682,14000000.0,"['Drama', 'Romance']",Jungle Fever
/release/rl5342721/?ref_=bo_yld_table_44,56362352,29661653.0,86024005,,"['Drama', 'Fantasy', 'Romance']",Edward Scissorhands
/release/rl2051966465/?ref_=bo_yld_table_45,30102717,,30102717,,"['Action', 'Crime']",Double Impact
/release/rl2706867713/?ref_=bo_yld_table_46,29888235,,29888235,,"['Comedy', 'Drama', 'Romance']",Green Card
/release/rl2740946433/?ref_=bo_yld_table_47,28862081,,28862081,,"['Comedy', 'Drama', 'Fantasy', 'Romance']",L.A. Story
/release/rl3813443073/?ref_=bo_yld_table_48,28738096,,28738096,,"['Crime', 'Drama', 'Mystery', 'Thriller']",Deceived
/release/rl643008001/?ref_=bo_yld_table_49,89325780,,89325780,,"['Comedy', 'Family', 'Romance']",Father of the Bride
/release/rl4200891905/?ref_=bo_yld_table_50,26255594,,26255594,,"['Comedy', 'Sport']",Necessary Roughness
/release/rl1398179329/?ref_=bo_yld_table_51,25895485,39700000.0,65595485,,"['Action', 'Comedy', 'Crime']",The Hard Way
/release/rl3680929281/?ref_=bo_yld_table_52,25682090,,25682090,,"['Comedy', 'Drama', 'Romance']",Other People's Money
/release/rl2219738625/?ref_=bo_yld_table_53,25196249,,25196249,,['Comedy'],Don't Tell Mom the Babysitter's Dead
/release/rl3479930369/?ref_=bo_yld_table_54,25104700,7600000.0,32704700,,"['Comedy', 'Family']",Problem Child 2
/release/rl3277751809/?ref_=bo_yld_table_55,25010896,,25010896,,['Drama'],Little Man Tate
/release/rl3226174977/?ref_=bo_yld_table_56,24277858,4000060.0,28277918,,"['Drama', 'Thriller']",Class Action
/release/rl3194717697/?ref_=bo_yld_table_57,24204154,7143000.0,31347154,6000000.0,"['Comedy', 'Horror', 'Mystery', 'Thriller']",The People Under the Stairs
/release/rl3680404993/?ref_=bo_yld_table_58,24078196,193000.0,24271196,6000000.0,"['Action', 'Crime', 'Drama', 'Sport']",Lionheart
/release/rl946439681/?ref_=bo_yld_table_59,23562716,,23562716,,"['Comedy', 'Crime']",Oscar
/release/rl3781330433/?ref_=bo_yld_table_60,61276872,,61276872,,"['Drama', 'Thriller']",Misery
/release/rl4182935041/?ref_=bo_yld_table_61,22773535,,22773535,,"['Comedy', 'Drama', 'Romance']",Frankie and Johnny
/release/rl3026290177/?ref_=bo_yld_table_62,47789074,,47789074,,"['Comedy', 'Family', 'Romance']",Look Who's Talking Too
/release/rl1667925505/?ref_=bo_yld_table_63,22641969,2300000.0,24941969,,"['Comedy', 'Crime', 'Mystery']",Pure Luck
/release/rl2305197569/?ref_=bo_yld_table_64,21830957,3261845.0,25092802,,"['Comedy', 'Romance']",Only the Lonely
/release/rl829195777/?ref_=bo_yld_table_65,21756163,,21756163,,"['Action', 'Crime', 'Drama', 'Thriller']",Ricochet
/release/rl1666549249/?ref_=bo_yld_table_66,21082165,,21082165,,"['Action', 'Thriller']",F/X2
/release/rl2103608833/?ref_=bo_yld_table_67,35419397,,35419397,,"['Comedy', 'Drama', 'Romance']",Mermaids
/release/rl911640065/?ref_=bo_yld_table_68,20710451,,20710451,,['Drama'],Hamlet
/release/rl1030063617/?ref_=bo_yld_table_69,20246790,,20246790,,"['Crime', 'Drama']",Mobsters
/release/rl509445633/?ref_=bo_yld_table_70,70405498,135000000.0,205405498,,"['Drama', 'History', 'Thriller']",JFK
/release/rl2436990465/?ref_=bo_yld_table_71,71609321,,71609321,,"['Comedy', 'Drama', 'Family', 'Romance']",Three Men and a Little Lady
/release/rl1566082561/?ref_=bo_yld_table_72,19438638,,19438638,5000000.0,"['Comedy', 'Drama', 'Music', 'Romance']",House Party 2
/release/rl1332053505/?ref_=bo_yld_table_73,18784957,,18784957,,"['Mystery', 'Thriller']",Mortal Thoughts
/release/rl2674492929/?ref_=bo_yld_table_74,18634643,,18634643,,['Drama'],Paradise
/release/rl1649575425/?ref_=bo_yld_table_75,17860280,5342164.0,23202444,40000000.0,"['Comedy', 'Drama', 'Music']",For the Boys
/release/rl3831793153/?ref_=bo_yld_table_76,17373527,,17373527,,"['Adventure', 'Drama', 'Family', 'Fantasy']",The NeverEnding Story II: The Next Chapter
/release/rl2656601601/?ref_=bo_yld_table_77,17218080,,17218080,65000000.0,"['Action', 'Adventure', 'Comedy']",Hudson Hawk
/release/rl2454291969/?ref_=bo_yld_table_78,49114016,,49114016,,"['Biography', 'Crime', 'Drama']",Bugsy
/release/rl810518017/?ref_=bo_yld_table_79,16371128,,16371128,,"['Comedy', 'Drama', 'Fantasy']",Defending Your Life
/release/rl3949692417/?ref_=bo_yld_table_80,74787599,,74787599,,"['Drama', 'Romance']",The Prince of Tides
/release/rl4081288705/?ref_=bo_yld_table_81,22166041,18600000.0,40766041,,"['Adventure', 'Animation', 'Family', 'Musical', 'Western']",An American Tail: Fievel Goes West
/release/rl1548191233/?ref_=bo_yld_table_82,15565363,,15565363,48000000.0,"['Crime', 'Drama', 'Thriller']",Billy Bathgate
/release/rl1297712641/?ref_=bo_yld_table_83,15556340,,15556340,,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",Highlander II: The Quickening
/release/rl326469121/?ref_=bo_yld_table_84,15545943,,15545943,,"['Comedy', 'Fantasy']",Switch
/release/rl2723972609/?ref_=bo_yld_table_85,15429177,,15429177,,"['Crime', 'Drama', 'Mystery', 'Thriller']",A Kiss Before Dying
/release/rl980518401/?ref_=bo_yld_table_86,15104156,,15104156,,"['Adventure', 'Family']",Shipwrecked
/release/rl1584891393/?ref_=bo_yld_table_87,15073942,,15073942,,"['Action', 'Drama', 'Thriller']",Toy Soldiers
/release/rl980846081/?ref_=bo_yld_table_88,15012935,14000000.0,29012935,4500000.0,"['Documentary', 'Music']",Madonna: Truth or Dare
/release/rl1397458433/?ref_=bo_yld_table_89,14960255,5600000.0,20560255,,"['Horror', 'Thriller']",Child's Play 3
/release/rl2521466369/?ref_=bo_yld_table_90,14919570,,14919570,,"['Comedy', 'Drama', 'Music']",The Commitments
/release/rl1248232961/?ref_=bo_yld_table_91,14851083,,14851083,,"['Comedy', 'Drama', 'Romance']",Once Around
/release/rl3296298497/?ref_=bo_yld_table_92,14812144,,14812144,,"['Comedy', 'Family', 'Romance']",All I Want for Christmas
/release/rl1013351937/?ref_=bo_yld_table_93,14789113,,14789113,,"['Drama', 'Thriller']",Not Without My Daughter
/release/rl642942465/?ref_=bo_yld_table_94,14587732,,14587732,35000000.0,"['Action', 'Drama', 'Thriller', 'War']",Flight of the Intruder
/release/rl3276703233/?ref_=bo_yld_table_95,14143280,,14143280,,"['Comedy', 'Family', 'Fantasy']",Ernest Scared Stupid
/release/rl1953007105/?ref_=bo_yld_table_96,14061361,,14061361,,"['Action', 'Crime', 'Drama']",The Perfect Weapon
/release/rl3175908865/?ref_=bo_yld_table_97,13878334,,13878334,,"['Comedy', 'Drama', 'Fantasy']",Drop Dead Fred
/release/rl409961985/?ref_=bo_yld_table_98,22997992,,22997992,,"['Drama', 'Romance', 'Thriller']",The Russia House
/release/rl3025634817/?ref_=bo_yld_table_99,13446769,,13446769,,"['Crime', 'Drama', 'Thriller']",The Grifters
/release/rl1080264193/?ref_=bo_yld_table_100,12454768,,12454768,26000000.0,"['Comedy', 'Music', 'Romance']",The Marrying Man
/release/rl3864364545/?ref_=bo_yld_table_101,217631306,288071282.0,505702588,22000000.0,"['Drama', 'Fantasy', 'Romance', 'Thriller']",Ghost
/release/rl3765339649/?ref_=bo_yld_table_102,11511031,,11511031,,"['Crime', 'Drama', 'Mystery', 'Thriller']",Shattered
/release/rl1313375745/?ref_=bo_yld_table_103,11336986,,11336986,,"['Comedy', 'Romance']",Career Opportunities
/release/rl4132734465/?ref_=bo_yld_table_104,11276846,,11276846,,"['Action', 'Crime', 'Drama', 'Thriller']",One Good Cop
/release/rl2608432641/?ref_=bo_yld_table_105,11128309,,11128309,,"['Action', 'Comedy', 'Crime', 'Mystery']",V.I. Warshawski
/release/rl3916596737/?ref_=bo_yld_table_106,11000863,,11000863,22000000.0,['Comedy'],The Super
/release/rl4218062337/?ref_=bo_yld_table_107,10438504,,10438504,,"['Comedy', 'Crime']",A Rage in Harlem
/release/rl2555938305/?ref_=bo_yld_table_108,9804775,,9804775,,"['Comedy', 'Drama', 'Romance']","He Said, She Said"
/release/rl3679028737/?ref_=bo_yld_table_109,9689816,,9689816,,"['Comedy', 'Fantasy', 'Romance']",The Butcher's Wife
/release/rl3899622913/?ref_=bo_yld_table_110,9563393,,9563393,3000000.0,['Comedy'],Scenes from a Mall
/release/rl2270660097/?ref_=bo_yld_table_111,9480198,,9480198,,['Drama'],Guilty by Suspicion
/release/rl1799783937/?ref_=bo_yld_table_112,9188150,,9188150,,"['Horror', 'Sci-Fi', 'Thriller']",Body Parts
/release/rl896697857/?ref_=bo_yld_table_113,9151887,,9151887,,"['Action', 'Crime', 'Drama', 'Thriller']",Stone Cold
/release/rl930645505/?ref_=bo_yld_table_114,9094451,,9094451,,"['Action', 'Fantasy', 'Horror', 'Thriller']",Warlock
/release/rl4200564225/?ref_=bo_yld_table_115,8906823,,8906823,,"['Drama', 'Sci-Fi']",Late for Dinner
/release/rl3881010689/?ref_=bo_yld_table_116,8750400,,8750400,,"['Drama', 'Music']",The Five Heartbeats
/release/rl1430750721/?ref_=bo_yld_table_117,8667684,,8667684,,"['Adventure', 'Comedy', 'Family']",Bingo
/release/rl2238154241/?ref_=bo_yld_table_118,8479793,,8479793,40000000.0,['Comedy'],Nothing But Trouble
/release/rl2959181313/?ref_=bo_yld_table_119,7788597,,7788597,,"['Action', 'Comedy']",If Looks Could Kill
/release/rl1836221953/?ref_=bo_yld_table_120,7683267,,7683267,,"['Comedy', 'Romance']",Strictly Business
/release/rl2506982913/?ref_=bo_yld_table_121,27931461,,27931461,,"['Adventure', 'Animation', 'Crime', 'Drama', 'Family', 'Fantasy', 'Mystery']",The Rescuers Down Under
/release/rl1247184385/?ref_=bo_yld_table_122,7434726,,7434726,23000000.0,"['Action', 'Crime', 'Drama', 'Thriller', 'Western']",Harley Davidson and the Marlboro Man
/release/rl3497756161/?ref_=bo_yld_table_123,7294835,,7294835,,"['Drama', 'Family', 'Romance']",Wild Hearts Can't Be Broken
/release/rl3560998401/?ref_=bo_yld_table_124,7331647,,7331647,,"['Comedy', 'Romance']",Alice
/release/rl1081247233/?ref_=bo_yld_table_125,6948859,,6948859,,"['Action', 'Comedy', 'Sci-Fi']",Suburban Commando
/release/rl1430685185/?ref_=bo_yld_table_126,15691192,,15691192,47000000.0,"['Comedy', 'Drama', 'Romance']",The Bonfire of the Vanities
/release/rl978290177/?ref_=bo_yld_table_127,6413375,,6413375,,"['Mystery', 'Thriller']",Defenseless
/release/rl3748365825/?ref_=bo_yld_table_128,6401336,,6401336,,['Drama'],My Own Private Idaho
/release/rl3748300289/?ref_=bo_yld_table_129,6266621,,6266621,7500000.0,['Drama'],Rambling Rose
/release/rl1600423425/?ref_=bo_yld_table_130,6166819,,6166819,,"['Comedy', 'Crime', 'Romance', 'Thriller']",Mystery Date
/release/rl3947202049/?ref_=bo_yld_table_131,6153939,,6153939,,"['Comedy', 'Drama', 'Thriller']",Barton Fink
/release/rl760186369/?ref_=bo_yld_table_132,5546827,,5546827,18000000.0,"['Comedy', 'Fantasy']",Delirious
