,domestic,international,worldwide,budget,genres,title
/release/rl2974385665/?ref_=bo_yld_table_1,210609762,170500000.0,381109762,19000000.0,"['Adventure', 'Comedy', 'Sci-Fi']",Back to the Future
/release/rl3880027649/?ref_=bo_yld_table_2,234760478,81600000.0,316360478,,"['Action', 'Comedy', 'Crime', 'Thriller']",Beverly Hills Cop
/release/rl3697968641/?ref_=bo_yld_table_3,150415432,149985000.0,300400432,,"['Action', 'Adventure', 'Thriller']",Rambo: First Blood Part II
/release/rl3043788289/?ref_=bo_yld_table_4,127873716,172600000.0,300473716,,"['Drama', 'Sport']",Rocky IV
/release/rl1615496705/?ref_=bo_yld_table_5,76113124,9200000.0,85313124,,"['Comedy', 'Drama', 'Sci-Fi']",Cocoon
/release/rl4017849857/?ref_=bo_yld_table_6,68706993,,68706993,,"['Crime', 'Drama', 'Romance', 'Thriller']",Witness
/release/rl3243542017/?ref_=bo_yld_table_7,61389680,,61389680,,"['Adventure', 'Comedy', 'Family']",The Goonies
/release/rl493585921/?ref_=bo_yld_table_8,55600000,,55600000,,['Comedy'],Police Academy 2: Their First Assignment
/release/rl978486785/?ref_=bo_yld_table_9,50612888,9000000.0,59612888,,"['Comedy', 'Crime', 'Mystery']",Fletch
/release/rl1333364225/?ref_=bo_yld_table_10,50327960,,50327960,,"['Action', 'Adventure', 'Thriller']",A View to a Kill
/release/rl709920257/?ref_=bo_yld_table_11,49364621,,49364621,,"['Adventure', 'Comedy']",National Lampoon's European Vacation
/release/rl2808317441/?ref_=bo_yld_table_12,48230162,,48230162,,"['Biography', 'Drama']",Mask
/release/rl3326510593/?ref_=bo_yld_table_13,45875171,5650000.0,51525171,,"['Comedy', 'Drama']",The Breakfast Club
/release/rl1147766273/?ref_=bo_yld_table_14,41410568,,41410568,,"['Drama', 'Western']",Pale Rider
/release/rl644384257/?ref_=bo_yld_table_15,40940662,,40940662,,"['Adventure', 'Comedy', 'Family']",Pee-wee's Big Adventure
/release/rl575243777/?ref_=bo_yld_table_16,40833132,5000000.0,45833132,,['Comedy'],Brewster's Millions
/release/rl1028687361/?ref_=bo_yld_table_17,40607502,20296000.0,60903502,10500000.0,"['Family', 'Sci-Fi']",E.T. the Extra-Terrestrial
/release/rl4049241601/?ref_=bo_yld_table_18,40491165,,40491165,,"['Drama', 'Mystery', 'Thriller']",Jagged Edge
/release/rl2824898049/?ref_=bo_yld_table_19,36230219,,36230219,,"['Action', 'Adventure', 'Sci-Fi']",Mad Max Beyond Thunderdome
/release/rl745768449/?ref_=bo_yld_table_20,60088980,,60088980,,"['Adventure', 'Comedy']",Spies Like Us
/release/rl2454357505/?ref_=bo_yld_table_21,35100000,22391000.0,57491000,,"['Action', 'Adventure', 'Thriller']",Commando
