,domestic,international,worldwide,budget,genres,title
/release/rl4084368897/?ref_=bo_yld_table_1,108185706,,108185706,54000000.0,"['Action', 'Adventure', 'Sci-Fi']",Superman II
/release/rl1685227009/?ref_=bo_yld_table_2,85297000,,85297000,,"['Comedy', 'War']",Stripes
/release/rl4752897/?ref_=bo_yld_table_3,72179579,,72179579,,"['Action', 'Comedy', 'Sport']",The Cannonball Run
/release/rl4135224833/?ref_=bo_yld_table_4,54812802,,54812802,,"['Action', 'Adventure', 'Thriller']",For Your Eyes Only
/release/rl2572322305/?ref_=bo_yld_table_5,50427646,,50427646,,"['Comedy', 'Drama']",The Four Seasons
/release/rl1783662081/?ref_=bo_yld_table_6,34967437,,34967437,,"['Adventure', 'Drama', 'Fantasy', 'Romance']",Excalibur
/release/rl2572781057/?ref_=bo_yld_table_7,31672907,,31672907,,"['Comedy', 'History', 'Musical']",History of the World: Part I
/release/rl3846800897/?ref_=bo_yld_table_8,31261269,,31261269,,"['Comedy', 'Drama']",Bustin' Loose
/release/rl3412428289/?ref_=bo_yld_table_9,31206251,,31206251,,"['Adventure', 'Comedy', 'Crime', 'Family', 'Musical', 'Mystery']",The Great Muppet Caper
/release/rl2219935233/?ref_=bo_yld_table_10,31184024,1308650.0,32492674,,"['Drama', 'Romance']",Endless Love
/release/rl2336458241/?ref_=bo_yld_table_11,30565292,,30565292,,"['Comedy', 'Horror']",An American Werewolf in London
/release/rl3310847489/?ref_=bo_yld_table_12,25533818,,25533818,,['Horror'],Halloween II
/release/rl1749452289/?ref_=bo_yld_table_13,24058838,,24058838,,"['Crime', 'Drama', 'Romance', 'Thriller']",Body Heat
/release/rl4083844609/?ref_=bo_yld_table_14,212222025,141766000.0,353988025,18000000.0,"['Action', 'Adventure']",Raiders of the Lost Ark
/release/rl3478291969/?ref_=bo_yld_table_15,21722776,,21722776,,"['Horror', 'Mystery', 'Thriller']",Friday the 13th Part 2
/release/rl1600554497/?ref_=bo_yld_table_16,20471382,,20471382,,['Horror'],The Final Conflict
/release/rl2589689345/?ref_=bo_yld_table_17,20259961,,20259961,,"['Comedy', 'Sci-Fi']",The Incredible Shrinking Woman
/release/rl2759230977/?ref_=bo_yld_table_18,18826490,,18826490,,['Comedy'],Under the Rainbow
/release/rl57247233/?ref_=bo_yld_table_19,17374595,,17374595,,"['Action', 'Crime', 'Sci-Fi', 'Thriller', 'Western']",Outland
/release/rl3611985409/?ref_=bo_yld_table_20,15578237,,15578237,,"['Comedy', 'Romance']",Continental Divide
/release/rl224888321/?ref_=bo_yld_table_21,14905359,5000000.0,19905359,,"['Action', 'Crime', 'Thriller']",Nighthawks
/release/rl1229882881/?ref_=bo_yld_table_22,14110013,,14110013,,"['Action', 'Adventure', 'Fantasy']",Dragonslayer
/release/rl593397249/?ref_=bo_yld_table_23,12617845,,12617845,,"['Action', 'Adventure', 'Western']",The Legend of the Lone Ranger
