,domestic,international,worldwide,budget,genres,title
/release/rl3712255489/?ref_=bo_yld_table_1,153665036,146300000.0,299965036,,"['Action', 'Comedy', 'Crime', 'Thriller']",Beverly Hills Cop II
/release/rl3446179329/?ref_=bo_yld_table_2,138530565,15067.0,138545632,6000000.0,"['Drama', 'War']",Platoon
/release/rl794002945/?ref_=bo_yld_table_3,156645693,163500000.0,320145693,,"['Drama', 'Thriller']",Fatal Attraction
/release/rl3447096833/?ref_=bo_yld_table_4,76270454,,76270454,,"['Crime', 'Drama', 'Thriller']",The Untouchables
/release/rl3061089793/?ref_=bo_yld_table_5,167780960,,167780960,11000000.0,"['Comedy', 'Drama', 'Family']",Three Men and a Baby
/release/rl510559745/?ref_=bo_yld_table_6,66995879,44001000.0,110996879,,"['Comedy', 'Romance']",The Secret of My Success
/release/rl1735624193/?ref_=bo_yld_table_7,65673233,,65673233,,"['Action', 'Comedy', 'Crime', 'Thriller']",Stakeout
/release/rl1667139073/?ref_=bo_yld_table_8,65207127,55000000.0,120207127,,"['Action', 'Crime', 'Thriller']",Lethal Weapon
/release/rl4152067585/?ref_=bo_yld_table_9,63766510,,63766510,,"['Comedy', 'Fantasy', 'Horror']",The Witches of Eastwick
/release/rl2909505025/?ref_=bo_yld_table_10,59735548,38532910.0,98268458,15000000.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Predator
/release/rl1397655041/?ref_=bo_yld_table_11,57387516,9286000.0,66673516,,"['Comedy', 'Crime']",Dragnet
/release/rl3462170113/?ref_=bo_yld_table_12,54215416,,54215416,,"['Biography', 'Drama', 'Music']",La Bamba
/release/rl3108865537/?ref_=bo_yld_table_13,174803506,153400000.0,328203506,,"['Action', 'Adventure', 'Comedy']",Crocodile Dundee
/release/rl1366066689/?ref_=bo_yld_table_14,53424681,,53424681,13000000.0,"['Action', 'Crime', 'Sci-Fi', 'Thriller']",RoboCop
/release/rl1902740993/?ref_=bo_yld_table_15,52864741,,52864741,,['Comedy'],Outrageous Fortune
/release/rl2505016833/?ref_=bo_yld_table_16,63446382,150000000.0,213446382,6000000.0,"['Drama', 'Music', 'Romance']",Dirty Dancing
/release/rl643925505/?ref_=bo_yld_table_17,51185897,,51185897,,"['Action', 'Adventure', 'Thriller']",The Living Daylights
/release/rl1919976961/?ref_=bo_yld_table_18,46594212,,46594212,1499000.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",Snow White and the Seven Dwarfs
/release/rl39159297/?ref_=bo_yld_table_19,46357676,,46357676,30000000.0,"['Drama', 'War']",Full Metal Jacket
/release/rl3159459329/?ref_=bo_yld_table_20,44793222,,44793222,,"['Fantasy', 'Horror']",A Nightmare on Elm Street 3: Dream Warriors
/release/rl409175553/?ref_=bo_yld_table_21,42721196,,42721196,,"['Comedy', 'Fantasy', 'Romance']",Mannequin
/release/rl3765208577/?ref_=bo_yld_table_22,40050884,,40050884,,"['Comedy', 'Romance']",Roxanne
/release/rl3947333121/?ref_=bo_yld_table_23,39321715,,39321715,,"['Comedy', 'Romance']",Blind Date
/release/rl4000351745/?ref_=bo_yld_table_24,38119483,,38119483,,"['Adventure', 'Comedy', 'Sci-Fi']",Spaceballs
/release/rl3027469825/?ref_=bo_yld_table_25,109713132,,109713132,,"['Adventure', 'Comedy', 'Sci-Fi']",Star Trek IV: The Voyage Home
/release/rl2555676161/?ref_=bo_yld_table_26,79817937,,79817937,,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Mystery']",The Golden Child
/release/rl2758968833/?ref_=bo_yld_table_27,35659098,,35659098,,"['Comedy', 'Romance']",Summer School
/release/rl3647440385/?ref_=bo_yld_table_28,35509515,,35509515,,"['Action', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",No Way Out
/release/rl3395847681/?ref_=bo_yld_table_29,49530280,,49530280,,"['Comedy', 'Drama']","Planes, Trains & Automobiles"
/release/rl829392385/?ref_=bo_yld_table_30,38122105,,38122105,27000000.0,"['Action', 'Sci-Fi', 'Thriller']",The Running Man
/release/rl2204009985/?ref_=bo_yld_table_31,34377585,,34377585,,"['Comedy', 'Fantasy']",Like Father Like Son
/release/rl1564509697/?ref_=bo_yld_table_32,34368475,,34368475,,"['Adventure', 'Comedy', 'Crime', 'Romance']",Adventures in Babysitting
/release/rl2506196481/?ref_=bo_yld_table_33,32222567,,32222567,,"['Comedy', 'Horror']",The Lost Boys
/release/rl38307329/?ref_=bo_yld_table_34,31623833,,31623833,,"['Comedy', 'Drama', 'Romance']",Can't Buy Me Love
/release/rl4234905089/?ref_=bo_yld_table_35,30857814,3851.0,30861665,,"['Adventure', 'Family', 'Fantasy', 'Romance']",The Princess Bride
/release/rl560301569/?ref_=bo_yld_table_36,57915972,,57915972,,"['Comedy', 'Crime', 'Thriller']",Throw Momma from the Train
/release/rl3496838657/?ref_=bo_yld_table_37,30063289,,30063289,,['Comedy'],Revenge of the Nerds II: Nerds in Paradise
/release/rl1129743873/?ref_=bo_yld_table_38,29760613,20238000.0,49998613,,"['Comedy', 'Family', 'Fantasy']",Harry and the Hendersons
/release/rl4216030721/?ref_=bo_yld_table_39,34101149,,34101149,,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",Cinderella
/release/rl241927681/?ref_=bo_yld_table_40,28061343,,28061343,,"['Comedy', 'Crime']",Police Academy 4: Citizens on Patrol
/release/rl273778177/?ref_=bo_yld_table_41,50504655,,50504655,,"['Comedy', 'Documentary']",Eddie Murphy: Raw
/release/rl256214529/?ref_=bo_yld_table_42,26712476,,26712476,,"['Comedy', 'Drama', 'Romance']",Baby Boom
/release/rl3864757761/?ref_=bo_yld_table_43,25893810,,25893810,,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Thriller']",Innerspace
/release/rl3816064513/?ref_=bo_yld_table_44,25411386,,25411386,,"['Comedy', 'Drama']",Tin Men
