,domestic,international,worldwide,budget,genres,title
/release/rl4050814465/?ref_=bo_yld_table_1,134218018,166000000.0,300218018,55000000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",Superman
/release/rl2202240513/?ref_=bo_yld_table_2,86432000,,86432000,,['Horror'],The Amityville Horror
/release/rl2993456641/?ref_=bo_yld_table_3,85182160,,85182160,,"['Drama', 'Sport']",Rocky II
/release/rl2977138177/?ref_=bo_yld_table_4,82258456,,82258456,35000000.0,"['Adventure', 'Mystery', 'Sci-Fi']",Star Trek: The Motion Picture
/release/rl3443557889/?ref_=bo_yld_table_5,78944891,22773131.0,101718022,11000000.0,"['Horror', 'Sci-Fi']",Alien
/release/rl1816299009/?ref_=bo_yld_table_6,78784010,,78784010,,"['Drama', 'Mystery', 'War']",Apocalypse Now
/release/rl960595457/?ref_=bo_yld_table_7,74865517,,74865517,,"['Comedy', 'Romance']",10
/release/rl878544385/?ref_=bo_yld_table_8,73691419,,73691419,,['Comedy'],The Jerk
/release/rl1516602881/?ref_=bo_yld_table_9,70308099,140000000.0,210308099,,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Moonraker
/release/rl3479406081/?ref_=bo_yld_table_10,43046003,,43046003,,['Comedy'],Meatballs
/release/rl3461449217/?ref_=bo_yld_table_11,43000000,,43000000,,"['Action', 'Biography', 'Crime', 'Drama', 'Thriller']",Escape from Alcatraz
/release/rl1046709761/?ref_=bo_yld_table_12,39946780,,39946780,,"['Comedy', 'Drama', 'Romance']",Manhattan
/release/rl390301185/?ref_=bo_yld_table_13,37823676,,37823676,,"['Drama', 'Music', 'Musical']",All That Jazz
/release/rl2034337281/?ref_=bo_yld_table_14,31755742,60700000.0,92455742,35000000.0,"['Action', 'Comedy', 'War']",1941
/release/rl3242755585/?ref_=bo_yld_table_15,30441738,,30441738,,"['Drama', 'Sport']",The Champ
/release/rl4050421249/?ref_=bo_yld_table_16,29174648,,29174648,,"['Drama', 'Music', 'Romance']",The Rose
/release/rl410551809/?ref_=bo_yld_table_17,22490039,,22490039,,"['Action', 'Crime', 'Thriller']",The Warriors
/release/rl2422703617/?ref_=bo_yld_table_18,22228000,,22228000,,['Drama'],Norma Rae
/release/rl977438209/?ref_=bo_yld_table_19,21508877,,21508877,,['Comedy'],National Lampoon's Animal House
/release/rl3327952385/?ref_=bo_yld_table_20,20424259,,20424259,,['Comedy'],La Cage aux Folles
/release/rl1565427201/?ref_=bo_yld_table_21,20158970,,20158970,,"['Drama', 'Horror', 'Romance']",Dracula
/release/rl2908653057/?ref_=bo_yld_table_22,19398164,,19398164,,['Comedy'],Monty Python's Life of Brian
/release/rl2890499585/?ref_=bo_yld_table_23,21671241,,21671241,,"['Action', 'Adventure', 'Sci-Fi']",Buck Rogers in the 25th Century
/release/rl3477505537/?ref_=bo_yld_table_24,16424918,,16424918,,"['Comedy', 'Drama', 'Romance', 'Sport']",Breaking Away
/release/rl2691466753/?ref_=bo_yld_table_25,13253715,,13253715,,"['Drama', 'Music']",Roller Boogie
/release/rl1482130945/?ref_=bo_yld_table_26,13027857,,13027857,,"['Adventure', 'Crime', 'Drama', 'Thriller']",The Great Train Robbery
/release/rl3999041025/?ref_=bo_yld_table_27,106260000,,106260000,,['Drama'],Kramer vs. Kramer
/release/rl1733527041/?ref_=bo_yld_table_28,10404330,,10404330,,"['Drama', 'Family', 'Musical', 'Romance']",Fiddler on the Roof
/release/rl743802369/?ref_=bo_yld_table_29,9346177,,9346177,,"['Comedy', 'Drama', 'Western']",The Frisco Kid
/release/rl3931342337/?ref_=bo_yld_table_30,8281246,,8281246,,"['Comedy', 'Sport']",The Fish That Saved Pittsburgh
/release/rl3714811393/?ref_=bo_yld_table_31,7650600,,7650600,12500000.0,"['Adventure', 'Comedy']",The Prisoner of Zenda
/release/rl2759034369/?ref_=bo_yld_table_32,307263857,195751992.0,503015849,11000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Star Wars: Episode IV - A New Hope
/release/rl2219673089/?ref_=bo_yld_table_33,5610280,,5610280,,"['Adventure', 'Romance', 'Thriller', 'War']",Cuba
/release/rl3645474305/?ref_=bo_yld_table_34,5136913,,5136913,,"['Comedy', 'Western']",Butch and Sundance: The Early Days
/release/rl1666680321/?ref_=bo_yld_table_35,4702575,,4702575,,['Drama'],The Great Santini
/release/rl2304869889/?ref_=bo_yld_table_36,3223197,,3223197,,['Comedy'],Lost and Found
/release/rl2658764289/?ref_=bo_yld_table_37,2631244,,2631244,,"['Drama', 'Music', 'Romance']",Voices
/release/rl946636289/?ref_=bo_yld_table_38,1856122,,1856122,,"['Comedy', 'Drama']",Rich Kids
/release/rl1113556481/?ref_=bo_yld_table_39,1537125,,1537125,,"['Mystery', 'Romance', 'Thriller']",Last Embrace
/release/rl3983115777/?ref_=bo_yld_table_40,1101186,,1101186,,"['Action', 'Drama', 'War']",The Passage
