,domestic,international,worldwide,budget,genres,title
/release/rl2775811585/?ref_=bo_yld_table_1,209398025,190685234.0,400083259,18000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Star Wars: Episode V - The Empire Strikes Back
/release/rl876643841/?ref_=bo_yld_table_2,103290500,,103290500,,['Comedy'],9 to 5
/release/rl3312682497/?ref_=bo_yld_table_3,101300000,,101300000,,"['Comedy', 'Crime']",Stir Crazy
/release/rl3999041025/?ref_=bo_yld_table_4,106260000,,106260000,,['Drama'],Kramer vs. Kramer
/release/rl1916962305/?ref_=bo_yld_table_5,70687344,,70687344,,"['Action', 'Comedy']",Any Which Way You Can
/release/rl3513484801/?ref_=bo_yld_table_6,69847348,,69847348,,"['Comedy', 'War']",Private Benjamin
/release/rl1883932161/?ref_=bo_yld_table_7,67182787,,67182787,,"['Biography', 'Drama', 'Music']",Coal Miner's Daughter
/release/rl460359169/?ref_=bo_yld_table_8,66132626,,66132626,,"['Action', 'Comedy']",Smokey and the Bandit II
/release/rl289834497/?ref_=bo_yld_table_9,57229890,58000000.0,115229890,,"['Adventure', 'Comedy', 'Crime', 'Music', 'Musical']",The Blues Brothers
/release/rl3378939393/?ref_=bo_yld_table_10,54766923,,54766923,,['Drama'],Ordinary People
/release/rl2003535361/?ref_=bo_yld_table_11,49823037,,49823037,,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",Popeye
/release/rl3312354817/?ref_=bo_yld_table_12,44017374,,44017374,19000000.0,"['Drama', 'Horror']",The Shining
/release/rl2018215425/?ref_=bo_yld_table_13,41675194,,41675194,,"['Comedy', 'Crime', 'Sci-Fi']",Cheech and Chong's Next Movie
/release/rl3326707201/?ref_=bo_yld_table_14,39846344,,39846344,,"['Comedy', 'Sport']",Caddyshack
/release/rl3344074241/?ref_=bo_yld_table_15,39754601,,39754601,,"['Horror', 'Mystery', 'Thriller']",Friday the 13th
/release/rl3125380609/?ref_=bo_yld_table_16,37121708,,37121708,,"['Crime', 'Drama']",Brubaker
/release/rl3411707393/?ref_=bo_yld_table_17,27118000,,27118000,,"['Drama', 'Music', 'Romance']",The Jazz Singer
/release/rl3461580289/?ref_=bo_yld_table_18,27107960,,27107960,,"['Action', 'Adventure', 'Sci-Fi']",Flash Gordon
/release/rl1497990657/?ref_=bo_yld_table_19,24265659,,24265659,,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Western']",Bronco Billy
/release/rl4201285121/?ref_=bo_yld_table_20,23334953,,23334953,,"['Biography', 'Drama', 'Sport']",Raging Bull
/release/rl1501201921/?ref_=bo_yld_table_21,22762571,,22762571,,"['Fantasy', 'Musical', 'Romance']",Xanadu
/release/rl3091432961/?ref_=bo_yld_table_22,22743674,,22743674,,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",American Gigolo
/release/rl392463873/?ref_=bo_yld_table_23,22482952,,22482952,,"['Comedy', 'Drama', 'Family']",My Bodyguard
/release/rl4283467265/?ref_=bo_yld_table_24,21202829,,21202829,,"['Drama', 'Music', 'Musical']",Fame
/release/rl1749255681/?ref_=bo_yld_table_25,19853892,,19853892,,"['Horror', 'Sci-Fi', 'Thriller']",Altered States
/release/rl1029211649/?ref_=bo_yld_table_26,17815212,,17815212,,"['Drama', 'Music', 'Romance']",Honeysuckle Rose
/release/rl1952024065/?ref_=bo_yld_table_27,15934737,,15934737,,"['Comedy', 'Romance']",Hero at Large
/release/rl1398900225/?ref_=bo_yld_table_28,15795189,,15795189,,"['Biography', 'Crime', 'Western']",The Long Riders
