,domestic,international,worldwide,budget,genres,title
/release/rl2792588801/?ref_=bo_yld_table_1,252583617,122009457.0,374593074,32500000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Star Wars: Episode VI - Return of the Jedi
/release/rl645367297/?ref_=bo_yld_table_2,177200000,,177200000,21000000.0,"['Comedy', 'Drama', 'Romance']",Tootsie
/release/rl3411248641/?ref_=bo_yld_table_3,92921203,,92921203,,"['Drama', 'Music', 'Romance']",Flashdance
/release/rl1081574913/?ref_=bo_yld_table_4,90404800,,90404800,,['Comedy'],Trading Places
/release/rl846759425/?ref_=bo_yld_table_5,79567667,,79567667,,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",WarGames
/release/rl275154433/?ref_=bo_yld_table_6,67893619,,67893619,,"['Action', 'Adventure', 'Thriller']",Octopussy
/release/rl2389935617/?ref_=bo_yld_table_7,64892670,,64892670,,"['Drama', 'Music', 'Romance']",Staying Alive
/release/rl40666625/?ref_=bo_yld_table_8,63541777,,63541777,6200000.0,"['Comedy', 'Crime', 'Drama', 'Romance']",Risky Business
/release/rl2187691521/?ref_=bo_yld_table_9,64783827,,64783827,,"['Comedy', 'Drama']",Mr. Mom
/release/rl561612289/?ref_=bo_yld_table_10,61399552,,61399552,,"['Adventure', 'Comedy']",National Lampoon's Vacation
/release/rl4285695489/?ref_=bo_yld_table_11,59950623,,59950623,,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",Superman III
/release/rl4030825985/?ref_=bo_yld_table_12,78868508,,78868508,,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",48 Hrs.
/release/rl3496248833/?ref_=bo_yld_table_13,55432841,,55432841,,"['Action', 'Adventure', 'Thriller']",Never Say Never Again
/release/rl3797255681/?ref_=bo_yld_table_14,52767889,,52767889,,"['Biography', 'Drama', 'History']",Gandhi
/release/rl3596256769/?ref_=bo_yld_table_15,45517055,42470000.0,87987055,,"['Adventure', 'Horror', 'Thriller']",Jaws 3-D
/release/rl995132929/?ref_=bo_yld_table_16,359197037,304203888.0,663400925,10500000.0,"['Family', 'Sci-Fi']",E.T. the Extra-Terrestrial
/release/rl373720577/?ref_=bo_yld_table_17,42313354,,42313354,,"['Action', 'Crime', 'Drama', 'Sci-Fi', 'Thriller']",Blue Thunder
/release/rl1870235137/?ref_=bo_yld_table_18,53977250,,53977250,,['Drama'],The Verdict
/release/rl407340545/?ref_=bo_yld_table_19,56342711,,56342711,,"['Comedy', 'Drama']",The Big Chill
/release/rl3111290369/?ref_=bo_yld_table_20,67642693,,67642693,,"['Action', 'Crime', 'Thriller']",Sudden Impact
/release/rl376079873/?ref_=bo_yld_table_21,34725000,,34725000,,"['Crime', 'Horror', 'Mystery', 'Thriller']",Psycho II
/release/rl3245704705/?ref_=bo_yld_table_22,108423489,,108423489,8000000.0,"['Comedy', 'Drama']",Terms of Endearment
/release/rl1818985985/?ref_=bo_yld_table_23,33759266,,33759266,,['Comedy'],Porky's II: The Next Day
/release/rl242255361/?ref_=bo_yld_table_24,30100000,,30100000,1499000.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",Snow White and the Seven Dwarfs
/release/rl7767553/?ref_=bo_yld_table_25,29450919,,29450919,,"['Horror', 'Sci-Fi']",Twilight Zone: The Movie
/release/rl894535169/?ref_=bo_yld_table_26,29309766,,29309766,,['Comedy'],Easy Money
/release/rl1163494913/?ref_=bo_yld_table_27,28445927,,28445927,,"['Adventure', 'Drama', 'Romance', 'War']",High Road to China
/release/rl2456847873/?ref_=bo_yld_table_28,30036000,,30036000,,"['Drama', 'Romance']",Sophie's Choice
/release/rl1953072641/?ref_=bo_yld_table_29,25697647,,25697647,,"['Crime', 'Drama']",The Outsiders
/release/rl91457025/?ref_=bo_yld_table_30,24071666,,24071666,,"['Comedy', 'Romance']",Spring Break
/release/rl340559361/?ref_=bo_yld_table_31,40577001,,40577001,,"['Adventure', 'Family', 'Fantasy']",The Dark Crystal
/release/rl1331987969/?ref_=bo_yld_table_32,22587834,,22587834,,['Comedy'],My Tutor
/release/rl994739713/?ref_=bo_yld_table_33,21667789,,21667789,,"['Comedy', 'Drama', 'Romance']",Class
