,domestic,international,worldwide,budget,genres,title
/release/rl2052556289/?ref_=bo_yld_table_1,159978870,206200000.0,366178870,6000000.0,"['Musical', 'Romance']",Grease
/release/rl994215425/?ref_=bo_yld_table_2,120091123,,120091123,,['Comedy'],National Lampoon's Animal House
/release/rl340428289/?ref_=bo_yld_table_3,116395460,171700000.0,288095460,20000000.0,"['Drama', 'Sci-Fi']",Close Encounters of the Third Kind
/release/rl105940481/?ref_=bo_yld_table_4,85196485,,85196485,,"['Action', 'Comedy']",Every Which Way but Loose
/release/rl3629549057/?ref_=bo_yld_table_5,81640278,,81640278,,"['Comedy', 'Fantasy', 'Romance', 'Sport']",Heaven Can Wait
/release/rl3562702337/?ref_=bo_yld_table_6,77737272,106118000.0,183855272,,"['Adventure', 'Horror', 'Thriller']",Jaws 2
/release/rl2926544385/?ref_=bo_yld_table_7,94213184,142900000.0,237113184,,"['Drama', 'Music']",Saturday Night Fever
/release/rl2759034369/?ref_=bo_yld_table_8,307263857,195751992.0,503015849,11000000.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Star Wars: Episode IV - A New Hope
/release/rl4050814465/?ref_=bo_yld_table_9,134218018,166000000.0,300218018,55000000.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",Superman
/release/rl4066477569/?ref_=bo_yld_table_10,30471420,,30471420,,"['Adventure', 'Animation', 'Fantasy']",The Lord of the Rings
/release/rl1583777281/?ref_=bo_yld_table_11,26518355,,26518355,,['Horror'],Omen II: Damien
/release/rl106595841/?ref_=bo_yld_table_12,24946533,,24946533,,"['Horror', 'Sci-Fi']",Invasion of the Body Snatchers
/release/rl3544614401/?ref_=bo_yld_table_13,5011158,,5011158,,"['Action', 'Drama', 'Mystery', 'Thriller', 'War']",Brass Target
