,domestic,international,worldwide,budget,genres,title
/release/rl444040705/?ref_=bo_yld_table_1,176781728,177030000.0,353811728,,"['Action', 'Drama']",Top Gun
/release/rl3108865537/?ref_=bo_yld_table_2,174803506,153400000.0,328203506,,"['Action', 'Adventure', 'Comedy']",Crocodile Dundee
/release/rl3395126785/?ref_=bo_yld_table_3,115103979,,115103979,,"['Action', 'Family', 'Romance', 'Sport']",The Karate Kid Part II
/release/rl1984267777/?ref_=bo_yld_table_4,91258000,,91258000,,"['Comedy', 'Romance', 'Sport']",Back to School
/release/rl3309340161/?ref_=bo_yld_table_5,85160248,45900000.0,131060248,,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Aliens
/release/rl71992833/?ref_=bo_yld_table_6,94175854,,94175854,,['Drama'],The Color Purple
/release/rl3027469825/?ref_=bo_yld_table_7,109713132,,109713132,,"['Adventure', 'Comedy', 'Sci-Fi']",Star Trek IV: The Voyage Home
/release/rl493848065/?ref_=bo_yld_table_8,71624879,,71624879,,"['Comedy', 'Crime']",Ruthless People
/release/rl107578881/?ref_=bo_yld_table_9,87071205,140443000.0,227514205,,"['Biography', 'Drama', 'Romance']",Out of Africa
/release/rl1767081473/?ref_=bo_yld_table_10,70136369,576308.0,70712677,,['Comedy'],Ferris Bueller's Day Off
/release/rl1917748737/?ref_=bo_yld_table_11,62134225,,62134225,14000000.0,['Comedy'],Down and Out in Beverly Hills
/release/rl3192555009/?ref_=bo_yld_table_12,52293982,,52293982,,"['Drama', 'Sport']",The Color of Money
/release/rl1534297601/?ref_=bo_yld_table_13,52287414,,52287414,,"['Adventure', 'Drama']",Stand by Me
/release/rl928941569/?ref_=bo_yld_table_14,49851591,43300000.0,93151591,,"['Comedy', 'Crime', 'Romance']",Legal Eagles
/release/rl1934263809/?ref_=bo_yld_table_15,49042224,,49042224,,"['Action', 'Crime', 'Thriller']",Cobra
/release/rl408782337/?ref_=bo_yld_table_16,75973200,20800000.0,96773200,,"['Action', 'Adventure', 'Comedy', 'Romance']",The Jewel of the Nile
/release/rl174818817/?ref_=bo_yld_table_17,43579163,,43579163,,['Comedy'],Police Academy 3: Back in Training
/release/rl2555676161/?ref_=bo_yld_table_18,79817937,,79817937,,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Mystery']",The Golden Child
/release/rl409503233/?ref_=bo_yld_table_19,41382841,105507.0,41488348,,"['Comedy', 'Drama', 'Fantasy', 'Romance']",Peggy Sue Got Married
/release/rl124487169/?ref_=bo_yld_table_20,40996665,,40996665,,['Horror'],Poltergeist II: The Other Side
/release/rl611419649/?ref_=bo_yld_table_21,40697761,,40697761,,"['Comedy', 'Family', 'Sci-Fi']",Short Circuit
/release/rl2674624001/?ref_=bo_yld_table_22,40471663,,40471663,,"['Comedy', 'Drama', 'Romance']",Pretty in Pink
/release/rl156403201/?ref_=bo_yld_table_23,40456565,20172594.0,60629159,,"['Drama', 'Horror', 'Sci-Fi']",The Fly
/release/rl3043788289/?ref_=bo_yld_table_24,127873716,172600000.0,300473716,,"['Drama', 'Sport']",Rocky IV
/release/rl507545089/?ref_=bo_yld_table_25,38702310,,38702310,,"['Comedy', 'Drama', 'Romance']",About Last Night
/release/rl711951873/?ref_=bo_yld_table_26,38500726,,38500726,,"['Action', 'Comedy', 'Crime', 'Thriller']",Running Scared
/release/rl493192705/?ref_=bo_yld_table_27,37499651,17500000.0,54999651,,['Comedy'],The Money Pit
/release/rl4065822209/?ref_=bo_yld_table_28,36611610,,36611610,,"['Comedy', 'Drama']",Gung Ho
/release/rl307660289/?ref_=bo_yld_table_29,35392203,,35392203,,"['Comedy', 'Drama']",Hannah and Her Sisters
/release/rl2487453185/?ref_=bo_yld_table_30,47483002,37059000.0,84542002,,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Musical']",An American Tail
/release/rl4066870785/?ref_=bo_yld_table_31,32324557,,32324557,,"['Comedy', 'Drama', 'Romance']",Nothing in Common
/release/rl4283860481/?ref_=bo_yld_table_32,42724017,,42724017,,"['Drama', 'War']",Heartbreak Ridge
/release/rl2573043201/?ref_=bo_yld_table_33,29844101,,29844101,,"['Comedy', 'Romance', 'Thriller']",Jumpin' Jack Flash
/release/rl3276965377/?ref_=bo_yld_table_34,19472057,,19472057,,"['Horror', 'Thriller']",Friday the 13th Part VI: Jason Lives
/release/rl828671489/?ref_=bo_yld_table_35,30867525,,30867525,,"['Comedy', 'Drama', 'Romance']",Murphy's Romance
/release/rl2205189633/?ref_=bo_yld_table_36,27820000,,27820000,,"['Comedy', 'Romance']",Soul Man
/release/rl1249609217/?ref_=bo_yld_table_37,26285544,,26285544,,"['Comedy', 'Sport']",Wildcats
/release/rl2941748737/?ref_=bo_yld_table_38,25336794,,25336794,14000000.0,"['Adventure', 'Animation', 'Family', 'Musical', 'Mystery']",The Great Mouse Detective
/release/rl2253817345/?ref_=bo_yld_table_39,25314189,,25314189,,"['Comedy', 'Drama']",Heartburn
/release/rl745768449/?ref_=bo_yld_table_40,60088980,,60088980,,"['Adventure', 'Comedy']",Spies Like Us
/release/rl1633322497/?ref_=bo_yld_table_41,24159872,,24159872,,"['Action', 'Thriller', 'War']",Iron Eagle
/release/rl2738980353/?ref_=bo_yld_table_42,39246734,,39246734,,"['Comedy', 'Western']",¡Three Amigos!
/release/rl1769440769/?ref_=bo_yld_table_43,21458229,,21458229,,"['Comedy', 'Crime']",Tough Guys
/release/rl843154945/?ref_=bo_yld_table_44,33049729,,33049729,,"['Adventure', 'Animation', 'Comedy', 'Family']",One Hundred and One Dalmatians
/release/rl1649772033/?ref_=bo_yld_table_45,20603715,,20603715,,"['Action', 'Thriller']",F/X
/release/rl1347126785/?ref_=bo_yld_table_46,31853080,,31853080,,"['Drama', 'Romance']",Children of a Lesser God
/release/rl2974385665/?ref_=bo_yld_table_47,210609762,170500000.0,381109762,19000000.0,"['Adventure', 'Comedy', 'Sci-Fi']",Back to the Future
/release/rl1767409153/?ref_=bo_yld_table_48,19444631,,19444631,,"['Comedy', 'Fantasy', 'Horror']",House
/release/rl844269057/?ref_=bo_yld_table_49,18564613,,18564613,,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",Flight of the Navigator
/release/rl276530689/?ref_=bo_yld_table_50,42160849,,42160849,,"['Drama', 'Music']",White Nights
/release/rl1499301377/?ref_=bo_yld_table_51,18034150,,18034150,,"['Biography', 'Comedy', 'Drama']","Jo Jo Dancer, Your Life Is Calling"
/release/rl625968641/?ref_=bo_yld_table_52,17768900,,17768900,,"['Action', 'Adventure', 'Drama', 'Thriller', 'War']",The Delta Force
/release/rl2691728897/?ref_=bo_yld_table_53,17659346,,17659346,,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",Song of the South
/release/rl1196983809/?ref_=bo_yld_table_54,16295774,21667000.0,37962774,37000000.0,"['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']",Howard the Duck
/release/rl929924609/?ref_=bo_yld_table_55,16209459,,16209459,,"['Action', 'Crime', 'Thriller']",Raw Deal
/release/rl2990704129/?ref_=bo_yld_table_56,15945534,,15945534,,"['Action', 'Comedy', 'Crime']",Armed and Dangerous
/release/rl677283329/?ref_=bo_yld_table_57,15502112,,15502112,,"['Adventure', 'Fantasy', 'Romance']",Legend
/release/rl2390394369/?ref_=bo_yld_table_58,15448384,,15448384,,"['Drama', 'Romance', 'Sport']",Youngblood
/release/rl576685569/?ref_=bo_yld_table_59,31129082,,31129082,4000000.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Romance']",Lady and the Tramp
/release/rl3513878017/?ref_=bo_yld_table_60,15120195,,15120195,,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",Sleeping Beauty
/release/rl392857089/?ref_=bo_yld_table_61,14481606,,14481606,,"['Horror', 'Mystery', 'Thriller']",Psycho III
/release/rl3193013761/?ref_=bo_yld_table_62,29999213,,29999213,,['Horror'],A Nightmare on Elm Street 2: Freddy's Revenge
