,title,domestic,international,worldwide,budget,year,reference,Action,Adventure,Fantasy,Sci-Fi,Mystery,Thriller,Comedy,Horror,Drama,Romance,Music,Musical,Sport,Animation,War,Biography,Crime,Family,Western,Documentary,History,Film-Noir,Short,Adult,News,Talk-Show,Reality-TV
0,Star Wars: Episode IV - A New Hope,307263857,195751992,503015849,11000000.0,1977,/release/rl2759034369/?ref_=bo_yld_table_1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,The Deep,47346365,0,47346365,,1977,/release/rl3561784833/?ref_=bo_yld_table_2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,The Spy Who Loved Me,46838673,0,46838673,,1977,/release/rl2004059649/?ref_=bo_yld_table_3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Oh, God!",41687243,0,41687243,,1977,/release/rl2137425409/?ref_=bo_yld_table_4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Exorcist II: The Heretic,30749142,0,30749142,,1977,/release/rl1582335489/?ref_=bo_yld_table_5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,The Turning Point,25933445,0,25933445,,1977,/release/rl611747329/?ref_=bo_yld_table_6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Looking for Mr. Goodbar,22512655,0,22512655,,1977,/release/rl3093399041/?ref_=bo_yld_table_7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Saturday Night Fever,94213184,142900000,237113184,,1977,/release/rl2926544385/?ref_=bo_yld_table_8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Close Encounters of the Third Kind,116395460,171700000,288095460,20000000.0,1977,/release/rl340428289/?ref_=bo_yld_table_9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Grease,159978870,206200000,366178870,6000000.0,1978,/release/rl2052556289/?ref_=bo_yld_table_1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,National Lampoon's Animal House,120091123,0,120091123,,1978,/release/rl994215425/?ref_=bo_yld_table_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Close Encounters of the Third Kind,116395460,171700000,288095460,20000000.0,1978,/release/rl340428289/?ref_=bo_yld_table_3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Every Which Way but Loose,85196485,0,85196485,,1978,/release/rl105940481/?ref_=bo_yld_table_4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Heaven Can Wait,81640278,0,81640278,,1978,/release/rl3629549057/?ref_=bo_yld_table_5,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Jaws 2,77737272,106118000,183855272,,1978,/release/rl3562702337/?ref_=bo_yld_table_6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Saturday Night Fever,94213184,142900000,237113184,,1978,/release/rl2926544385/?ref_=bo_yld_table_7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Star Wars: Episode IV - A New Hope,307263857,195751992,503015849,11000000.0,1978,/release/rl2759034369/?ref_=bo_yld_table_8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Superman,134218018,166000000,300218018,55000000.0,1978,/release/rl4050814465/?ref_=bo_yld_table_9,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,The Lord of the Rings,30471420,0,30471420,,1978,/release/rl4066477569/?ref_=bo_yld_table_10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Omen II: Damien,26518355,0,26518355,,1978,/release/rl1583777281/?ref_=bo_yld_table_11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Invasion of the Body Snatchers,24946533,0,24946533,,1978,/release/rl106595841/?ref_=bo_yld_table_12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Brass Target,5011158,0,5011158,,1978,/release/rl3544614401/?ref_=bo_yld_table_13,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Superman,134218018,166000000,300218018,55000000.0,1979,/release/rl4050814465/?ref_=bo_yld_table_1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,The Amityville Horror,86432000,0,86432000,,1979,/release/rl2202240513/?ref_=bo_yld_table_2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Rocky II,85182160,0,85182160,,1979,/release/rl2993456641/?ref_=bo_yld_table_3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Star Trek: The Motion Picture,82258456,0,82258456,35000000.0,1979,/release/rl2977138177/?ref_=bo_yld_table_4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Alien,78944891,22773131,101718022,11000000.0,1979,/release/rl3443557889/?ref_=bo_yld_table_5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Apocalypse Now,78784010,0,78784010,,1979,/release/rl1816299009/?ref_=bo_yld_table_6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,10,74865517,0,74865517,,1979,/release/rl960595457/?ref_=bo_yld_table_7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,The Jerk,73691419,0,73691419,,1979,/release/rl878544385/?ref_=bo_yld_table_8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Moonraker,70308099,140000000,210308099,,1979,/release/rl1516602881/?ref_=bo_yld_table_9,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Meatballs,43046003,0,43046003,,1979,/release/rl3479406081/?ref_=bo_yld_table_10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Escape from Alcatraz,43000000,0,43000000,,1979,/release/rl3461449217/?ref_=bo_yld_table_11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33,Manhattan,39946780,0,39946780,,1979,/release/rl1046709761/?ref_=bo_yld_table_12,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,All That Jazz,37823676,0,37823676,,1979,/release/rl390301185/?ref_=bo_yld_table_13,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1941,31755742,60700000,92455742,35000000.0,1979,/release/rl2034337281/?ref_=bo_yld_table_14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,The Champ,30441738,0,30441738,,1979,/release/rl3242755585/?ref_=bo_yld_table_15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,The Rose,29174648,0,29174648,,1979,/release/rl4050421249/?ref_=bo_yld_table_16,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,The Warriors,22490039,0,22490039,,1979,/release/rl410551809/?ref_=bo_yld_table_17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,Norma Rae,22228000,0,22228000,,1979,/release/rl2422703617/?ref_=bo_yld_table_18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,National Lampoon's Animal House,21508877,0,21508877,,1979,/release/rl977438209/?ref_=bo_yld_table_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,La Cage aux Folles,20424259,0,20424259,,1979,/release/rl3327952385/?ref_=bo_yld_table_20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Dracula,20158970,0,20158970,,1979,/release/rl1565427201/?ref_=bo_yld_table_21,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Monty Python's Life of Brian,19398164,0,19398164,,1979,/release/rl2908653057/?ref_=bo_yld_table_22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Buck Rogers in the 25th Century,21671241,0,21671241,,1979,/release/rl2890499585/?ref_=bo_yld_table_23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Breaking Away,16424918,0,16424918,,1979,/release/rl3477505537/?ref_=bo_yld_table_24,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Roller Boogie,13253715,0,13253715,,1979,/release/rl2691466753/?ref_=bo_yld_table_25,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,The Great Train Robbery,13027857,0,13027857,,1979,/release/rl1482130945/?ref_=bo_yld_table_26,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,Kramer vs. Kramer,106260000,0,106260000,,1979,/release/rl3999041025/?ref_=bo_yld_table_27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Fiddler on the Roof,10404330,0,10404330,,1979,/release/rl1733527041/?ref_=bo_yld_table_28,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,The Frisco Kid,9346177,0,9346177,,1979,/release/rl743802369/?ref_=bo_yld_table_29,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,The Fish That Saved Pittsburgh,8281246,0,8281246,,1979,/release/rl3931342337/?ref_=bo_yld_table_30,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,The Prisoner of Zenda,7650600,0,7650600,12500000.0,1979,/release/rl3714811393/?ref_=bo_yld_table_31,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Star Wars: Episode IV - A New Hope,307263857,195751992,503015849,11000000.0,1979,/release/rl2759034369/?ref_=bo_yld_table_32,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Cuba,5610280,0,5610280,,1979,/release/rl2219673089/?ref_=bo_yld_table_33,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,Butch and Sundance: The Early Days,5136913,0,5136913,,1979,/release/rl3645474305/?ref_=bo_yld_table_34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,The Great Santini,4702575,0,4702575,,1979,/release/rl1666680321/?ref_=bo_yld_table_35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Lost and Found,3223197,0,3223197,,1979,/release/rl2304869889/?ref_=bo_yld_table_36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Voices,2631244,0,2631244,,1979,/release/rl2658764289/?ref_=bo_yld_table_37,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Rich Kids,1856122,0,1856122,,1979,/release/rl946636289/?ref_=bo_yld_table_38,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Last Embrace,1537125,0,1537125,,1979,/release/rl1113556481/?ref_=bo_yld_table_39,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,The Passage,1101186,0,1101186,,1979,/release/rl3983115777/?ref_=bo_yld_table_40,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,Star Wars: Episode V - The Empire Strikes Back,209398025,190685234,400083259,18000000.0,1980,/release/rl2775811585/?ref_=bo_yld_table_1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,9 to 5,103290500,0,103290500,,1980,/release/rl876643841/?ref_=bo_yld_table_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Stir Crazy,101300000,0,101300000,,1980,/release/rl3312682497/?ref_=bo_yld_table_3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,Kramer vs. Kramer,106260000,0,106260000,,1980,/release/rl3999041025/?ref_=bo_yld_table_4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Any Which Way You Can,70687344,0,70687344,,1980,/release/rl1916962305/?ref_=bo_yld_table_5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Private Benjamin,69847348,0,69847348,,1980,/release/rl3513484801/?ref_=bo_yld_table_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,Coal Miner's Daughter,67182787,0,67182787,,1980,/release/rl1883932161/?ref_=bo_yld_table_7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,Smokey and the Bandit II,66132626,0,66132626,,1980,/release/rl460359169/?ref_=bo_yld_table_8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,The Blues Brothers,57229890,58000000,115229890,,1980,/release/rl289834497/?ref_=bo_yld_table_9,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,Ordinary People,54766923,0,54766923,,1980,/release/rl3378939393/?ref_=bo_yld_table_10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Popeye,49823037,0,49823037,,1980,/release/rl2003535361/?ref_=bo_yld_table_11,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,The Shining,44017374,0,44017374,19000000.0,1980,/release/rl3312354817/?ref_=bo_yld_table_12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Cheech and Chong's Next Movie,41675194,0,41675194,,1980,/release/rl2018215425/?ref_=bo_yld_table_13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,Caddyshack,39846344,0,39846344,,1980,/release/rl3326707201/?ref_=bo_yld_table_14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Friday the 13th,39754601,0,39754601,,1980,/release/rl3344074241/?ref_=bo_yld_table_15,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Brubaker,37121708,0,37121708,,1980,/release/rl3125380609/?ref_=bo_yld_table_16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,The Jazz Singer,27118000,0,27118000,,1980,/release/rl3411707393/?ref_=bo_yld_table_17,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Flash Gordon,27107960,0,27107960,,1980,/release/rl3461580289/?ref_=bo_yld_table_18,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Bronco Billy,24265659,0,24265659,,1980,/release/rl1497990657/?ref_=bo_yld_table_19,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,Raging Bull,23334953,0,23334953,,1980,/release/rl4201285121/?ref_=bo_yld_table_20,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,Xanadu,22762571,0,22762571,,1980,/release/rl1501201921/?ref_=bo_yld_table_21,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,American Gigolo,22743674,0,22743674,,1980,/release/rl3091432961/?ref_=bo_yld_table_22,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,My Bodyguard,22482952,0,22482952,,1980,/release/rl392463873/?ref_=bo_yld_table_23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,Fame,21202829,0,21202829,,1980,/release/rl4283467265/?ref_=bo_yld_table_24,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Altered States,19853892,0,19853892,,1980,/release/rl1749255681/?ref_=bo_yld_table_25,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Honeysuckle Rose,17815212,0,17815212,,1980,/release/rl1029211649/?ref_=bo_yld_table_26,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Hero at Large,15934737,0,15934737,,1980,/release/rl1952024065/?ref_=bo_yld_table_27,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,The Long Riders,15795189,0,15795189,,1980,/release/rl1398900225/?ref_=bo_yld_table_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
90,The Island,15716828,0,15716828,22000000.0,1980,/release/rl1297778177/?ref_=bo_yld_table_29,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,The Nude Bomb,14662035,0,14662035,,1980,/release/rl3395782145/?ref_=bo_yld_table_30,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,"Oh, God! Book II",14504277,0,14504277,,1980,/release/rl1885767169/?ref_=bo_yld_table_31,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,The Competition,14287755,0,14287755,,1980,/release/rl2370471425/?ref_=bo_yld_table_32,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Wholly Moses!,14155617,0,14155617,,1980,/release/rl2105247233/?ref_=bo_yld_table_33,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,The Last Married Couple in America,12835544,0,12835544,,1980,/release/rl3076490753/?ref_=bo_yld_table_34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,First Family,15198912,0,15198912,,1980,/release/rl4216555009/?ref_=bo_yld_table_35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,The Fiendish Plot of Dr. Fu Manchu,10697276,0,10697276,,1980,/release/rl1565754881/?ref_=bo_yld_table_36,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,Stardust Memories,10389003,0,10389003,10000000.0,1980,/release/rl1316193793/?ref_=bo_yld_table_37,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Somewhere in Time,9709597,0,9709597,,1980,/release/rl3195045377/?ref_=bo_yld_table_38,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,The Formula,8894289,0,8894289,,1980,/release/rl1163036161/?ref_=bo_yld_table_39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,Battle Creek Brawl,8527743,0,8527743,,1980,/release/rl591889921/?ref_=bo_yld_table_40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,The Awakening,8415112,0,8415112,,1980,/release/rl608536065/?ref_=bo_yld_table_41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Foxes,7470348,0,7470348,,1980,/release/rl2421327361/?ref_=bo_yld_table_42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Where the Buffalo Roam,6659377,0,6659377,,1980,/release/rl3262678529/?ref_=bo_yld_table_43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,The Gong Show Movie,6621520,0,6621520,,1980,/release/rl2220131841/?ref_=bo_yld_table_44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Motel Hell,6342668,0,6342668,,1980,/release/rl3177547265/?ref_=bo_yld_table_45,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Little Miss Marker,6321392,0,6321392,,1980,/release/rl4133389825/?ref_=bo_yld_table_46,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Oh Heavenly Dog,6216067,0,6216067,,1980,/release/rl1919321601/?ref_=bo_yld_table_47,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,Divine Madness,5318098,0,5318098,,1980,/release/rl3863971329/?ref_=bo_yld_table_48,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,In God We Trust (or Gimme That Prime Time Religion),5215015,0,5215015,,1980,/release/rl3159655937/?ref_=bo_yld_table_49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,He Knows You're Alone,4875436,0,4875436,,1980,/release/rl3344336385/?ref_=bo_yld_table_50,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Roadie,4226370,0,4226370,,1980,/release/rl1768719873/?ref_=bo_yld_table_51,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Gloria,4059673,0,4059673,,1980,/release/rl1716815361/?ref_=bo_yld_table_52,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,Jaws 2,4028735,0,4028735,,1980,/release/rl3579479553/?ref_=bo_yld_table_53,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Resurrection,3910019,0,3910019,,1980,/release/rl4251813377/?ref_=bo_yld_table_54,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Hide in Plain Sight,3806930,0,3806930,,1980,/release/rl1515816449/?ref_=bo_yld_table_55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Guyana: Cult of the Damned,3798102,0,3798102,,1980,/release/rl3780609537/?ref_=bo_yld_table_56,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,When Time Ran Out...,3763988,0,3763988,20000000.0,1980,/release/rl3380119041/?ref_=bo_yld_table_57,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,ffolkes,2993772,0,2993772,,1980,/release/rl1683195393/?ref_=bo_yld_table_58,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Loving Couples,2806659,0,2806659,,1980,/release/rl3949037057/?ref_=bo_yld_table_59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,The Idolmaker,2625716,0,2625716,,1980,/release/rl576423425/?ref_=bo_yld_table_60,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,Gilda Live,2261507,0,2261507,,1980,/release/rl844400129/?ref_=bo_yld_table_61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Windows,2128395,0,2128395,,1980,/release/rl2809890305/?ref_=bo_yld_table_62,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Just Tell Me What You Want,2086905,0,2086905,,1980,/release/rl4032660993/?ref_=bo_yld_table_63,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Why Would I Lie?,1175855,0,1175855,,1980,/release/rl1702594049/?ref_=bo_yld_table_64,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Heart Beat,954046,0,954046,,1980,/release/rl4233528833/?ref_=bo_yld_table_65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,One-Trick Pony,843215,0,843215,,1980,/release/rl2556855809/?ref_=bo_yld_table_66,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,"Those Lips, Those Eyes",804713,0,804713,,1980,/release/rl1131709953/?ref_=bo_yld_table_67,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,A Small Circle of Friends,766760,0,766760,,1980,/release/rl879789569/?ref_=bo_yld_table_68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Superman II,108185706,0,108185706,54000000.0,1981,/release/rl4084368897/?ref_=bo_yld_table_1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Stripes,85297000,0,85297000,,1981,/release/rl1685227009/?ref_=bo_yld_table_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
