,domestic,international,worldwide,budget,genres,title
/release/rl1532659201/?ref_=bo_yld_table_1,409013994,805797258.0,1214811252,200000000.0,"['Action', 'Adventure', 'Sci-Fi']",Iron Man 3
/release/rl2638775809/?ref_=bo_yld_table_2,424668047,440343699.0,865011746,130000000.0,"['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Thriller']",The Hunger Games: Catching Fire
/release/rl105874945/?ref_=bo_yld_table_3,368065385,602700620.0,970766005,76000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",Despicable Me 2
/release/rl4034037249/?ref_=bo_yld_table_4,291045518,377000000.0,668045518,225000000.0,"['Action', 'Adventure', 'Sci-Fi']",Man of Steel
/release/rl1919256065/?ref_=bo_yld_table_5,268492764,475066843.0,743559607,,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Monsters University
/release/rl357926401/?ref_=bo_yld_table_6,400738009,880064273.0,1280802282,150000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",Frozen
/release/rl89622017/?ref_=bo_yld_table_7,274092705,449100000.0,723192705,100000000.0,"['Drama', 'Sci-Fi', 'Thriller']",Gravity
/release/rl1028883969/?ref_=bo_yld_table_8,238679850,550000000.0,788679850,160000000.0,"['Action', 'Adventure', 'Thriller']",Fast & Furious 6
/release/rl1567196673/?ref_=bo_yld_table_9,234911825,258400000.0,493311825,215000000.0,"['Adventure', 'Family', 'Fantasy']",Oz The Great and Powerful
/release/rl2893252097/?ref_=bo_yld_table_10,228778661,238586585.0,467365246,190000000.0,"['Action', 'Adventure', 'Sci-Fi']",Star Trek Into Darkness
/release/rl3111421441/?ref_=bo_yld_table_11,206362140,438421000.0,644783140,170000000.0,"['Action', 'Adventure', 'Fantasy']",Thor: The Dark World
/release/rl2038072833/?ref_=bo_yld_table_12,202359711,337648165.0,540007876,190000000.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",World War Z
/release/rl2337900033/?ref_=bo_yld_table_13,258366855,700000000.0,958366855,,"['Adventure', 'Fantasy']",The Hobbit: The Desolation of Smaug
/release/rl3192751617/?ref_=bo_yld_table_14,187168425,400036243.0,587204668,135000000.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",The Croods
/release/rl2185856513/?ref_=bo_yld_table_15,159582188,70348583.0,229930771,43000000.0,"['Action', 'Comedy', 'Crime']",The Heat
/release/rl2558035457/?ref_=bo_yld_table_16,150394119,119600000.0,269994119,37000000.0,"['Comedy', 'Crime']",We're the Millers
/release/rl2706736641/?ref_=bo_yld_table_17,144840419,208801476.0,353641895,105000000.0,"['Drama', 'Romance']",The Great Gatsby
/release/rl3830089217/?ref_=bo_yld_table_18,137400141,182094497.0,319494638,20000000.0,"['Horror', 'Mystery', 'Thriller']",The Conjuring
/release/rl777750017/?ref_=bo_yld_table_19,134506920,39458090.0,173965010,35000000.0,"['Comedy', 'Crime', 'Drama']",Identity Thief
/release/rl2589427201/?ref_=bo_yld_table_20,133668525,113315753.0,246984278,80000000.0,['Comedy'],Grown Ups 2
/release/rl3246097921/?ref_=bo_yld_table_21,132556852,282271394.0,414828246,120000000.0,"['Action', 'Adventure', 'Sci-Fi']",The Wolverine
/release/rl810845697/?ref_=bo_yld_table_22,122523060,253217645.0,375740705,130000000.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",G.I. Joe: Retaliation
/release/rl3597108737/?ref_=bo_yld_table_23,117723989,234000000.0,351723989,75000000.0,"['Crime', 'Mystery', 'Thriller']",Now You See Me
/release/rl55215617/?ref_=bo_yld_table_24,119793567,154532382.0,274325949,78000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",Cloudy With a Chance of Meatballs 2
/release/rl3712583169/?ref_=bo_yld_table_25,116632095,60681700.0,177313795,30000000.0,"['Biography', 'Drama']",Lee Daniels' The Butler
/release/rl659981825/?ref_=bo_yld_table_26,112200072,249800000.0,362000072,103000000.0,"['Comedy', 'Crime', 'Romance']",The Hangover Part III
/release/rl3495921153/?ref_=bo_yld_table_27,107518682,160907952.0,268426634,100000000.0,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Mystery', 'Thriller']",Epic
/release/rl1883801089/?ref_=bo_yld_table_28,107100855,111690956.0,218791811,55000000.0,"['Biography', 'Crime', 'Drama', 'Thriller']",Captain Phillips
/release/rl1332839937/?ref_=bo_yld_table_29,132092958,104319495.0,236412453,21000000.0,"['Comedy', 'Drama', 'Romance']",Silver Linings Playbook
/release/rl1399424513/?ref_=bo_yld_table_30,101802906,309200000.0,411002906,190000000.0,"['Action', 'Adventure', 'Sci-Fi']",Pacific Rim
/release/rl2842461697/?ref_=bo_yld_table_31,101470202,24571120.0,126041322,32000000.0,['Comedy'],This Is the End
/release/rl1598391809/?ref_=bo_yld_table_32,102003019,49823528.0,151826547,15000000.0,['Comedy'],Jackass Presents: Bad Grandpa
/release/rl1516668417/?ref_=bo_yld_table_33,98925640,71344561.0,170270201,70000000.0,"['Action', 'Thriller']",Olympus Has Fallen
/release/rl4181820929/?ref_=bo_yld_table_34,95020213,2450488.0,97470701,40000000.0,"['Biography', 'Drama', 'Sport']",42
/release/rl1447527937/?ref_=bo_yld_table_35,95720716,37100000.0,132820716,40000000.0,"['Drama', 'History', 'Thriller', 'War']",Zero Dark Thirty
/release/rl3662644737/?ref_=bo_yld_table_36,162805434,262562804.0,425368238,100000000.0,"['Drama', 'Western']",Django Unchained
/release/rl2907801089/?ref_=bo_yld_table_37,93050117,193090583.0,286140700,115000000.0,"['Action', 'Drama', 'Sci-Fi']",Elysium
/release/rl3879962113/?ref_=bo_yld_table_38,125168368,46296308.0,171464676,50000000.0,['Comedy'],Anchorman 2: The Legend Continues
/release/rl3546842625/?ref_=bo_yld_table_39,90288712,148970000.0,239258712,50000000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",Planes
/release/rl1734444545/?ref_=bo_yld_table_40,89302115,171200000.0,260502115,215000000.0,"['Action', 'Adventure', 'Comedy', 'Thriller', 'War', 'Western']",The Lone Ranger
/release/rl744916481/?ref_=bo_yld_table_41,89107235,197061337.0,286168572,120000000.0,"['Action', 'Adventure', 'Sci-Fi']",Oblivion
/release/rl3445327361/?ref_=bo_yld_table_42,83586447,78332871.0,161919318,5000000.0,"['Horror', 'Mystery', 'Thriller']",Insidious: Chapter 2
/release/rl762742273/?ref_=bo_yld_table_43,83028128,199542554.0,282570682,135000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi', 'Sport']",Turbo
/release/rl1952351745/?ref_=bo_yld_table_44,148809770,293000000.0,441809770,61000000.0,"['Drama', 'History', 'Musical', 'Romance', 'War']",Les Misérables
/release/rl1195476481/?ref_=bo_yld_table_45,75612460,56327951.0,131940411,61000000.0,"['Action', 'Comedy', 'Thriller']",2 Guns
/release/rl2321122817/?ref_=bo_yld_table_46,303003568,714000000.0,1017003568,,"['Adventure', 'Fantasy']",The Hobbit: An Unexpected Journey
/release/rl427525633/?ref_=bo_yld_table_47,73103784,132262953.0,205366737,150000000.0,"['Action', 'Drama', 'Thriller']",White House Down
/release/rl3814753793/?ref_=bo_yld_table_48,71628180,74800000.0,146428180,15000000.0,"['Horror', 'Thriller']",Mama
/release/rl91194881/?ref_=bo_yld_table_49,71349120,26245020.0,97594140,28000000.0,"['Drama', 'Romance', 'Thriller']",Safe Haven
/release/rl309364225/?ref_=bo_yld_table_50,71017784,276527576.0,347545360,105000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",The Smurfs 2
