,domestic,international,worldwide,budget,genres,title
/release/rl3544548865/?ref_=bo_yld_table_1,162831698,103990656.0,266822354,80000000.0,"['Action', 'Crime', 'Fantasy']",Batman Returns
/release/rl1616807425/?ref_=bo_yld_table_2,144731527,177000000.0,321731527,35000000.0,"['Action', 'Crime', 'Thriller']",Lethal Weapon 3
/release/rl2456913409/?ref_=bo_yld_table_3,139605150,92000000.0,231605150,,"['Comedy', 'Crime', 'Family', 'Music']",Sister Act
/release/rl3881403905/?ref_=bo_yld_table_4,173585516,185409334.0,358994850,,"['Adventure', 'Comedy', 'Crime', 'Family']",Home Alone 2: Lost in New York
/release/rl3245966849/?ref_=bo_yld_table_5,121697323,61400000.0,183097323,20000000.0,"['Comedy', 'Music']",Wayne's World
/release/rl3997533697/?ref_=bo_yld_table_6,117727224,235200000.0,352927224,49000000.0,"['Drama', 'Mystery', 'Thriller']",Basic Instinct
/release/rl3529475585/?ref_=bo_yld_table_7,107533928,24906141.0,132440069,40000000.0,"['Comedy', 'Drama', 'Family', 'Sport']",A League of Their Own
/release/rl4148200961/?ref_=bo_yld_table_8,217350219,286700000.0,504050219,28000000.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",Aladdin
/release/rl777422337/?ref_=bo_yld_table_9,88036683,,88036683,,"['Drama', 'Thriller']",The Hand That Rocks the Cradle
/release/rl4185294337/?ref_=bo_yld_table_10,83563139,73000000.0,156563139,,"['Action', 'Thriller']",Under Siege
/release/rl3479799297/?ref_=bo_yld_table_11,83351587,94700000.0,178051587,45000000.0,"['Action', 'Thriller']",Patriot Games
/release/rl1582204417/?ref_=bo_yld_table_12,82522790,133339902.0,215862692,40000000.0,['Horror'],Bram Stoker's Dracula
/release/rl1967556097/?ref_=bo_yld_table_13,121945720,289000000.0,410945720,,"['Action', 'Drama', 'Music', 'Romance', 'Thriller']",The Bodyguard
/release/rl477857281/?ref_=bo_yld_table_14,76253806,14500000.0,90753806,,"['Comedy', 'Drama', 'Sport']",White Men Can't Jump
/release/rl1045792257/?ref_=bo_yld_table_15,82418501,37000000.0,119418501,,['Drama'],Fried Green Tomatoes
/release/rl2875164161/?ref_=bo_yld_table_16,75505856,,75505856,40000000.0,"['Action', 'Adventure', 'Drama', 'Romance', 'War']",The Last of the Mohicans
/release/rl4118185473/?ref_=bo_yld_table_17,101157447,58000000.0,159157447,,"['Drama', 'Western']",Unforgiven
/release/rl4490753/?ref_=bo_yld_table_18,145863363,186043788.0,331907151,25000000.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",Beauty and the Beast
/release/rl3141961217/?ref_=bo_yld_table_19,70052444,61000000.0,131052444,42000000.0,"['Comedy', 'Drama', 'Romance']",Boomerang
/release/rl1666418177/?ref_=bo_yld_table_20,141340178,101900000.0,243240178,41000000.0,"['Drama', 'Thriller']",A Few Good Men
/release/rl643008001/?ref_=bo_yld_table_21,89325780,,89325780,,"['Comedy', 'Family', 'Romance']",Father of the Bride
/release/rl3545269761/?ref_=bo_yld_table_22,58883840,78900000.0,137783840,60000000.0,"['Adventure', 'Drama', 'Romance', 'Western']",Far and Away
/release/rl3949692417/?ref_=bo_yld_table_23,74787599,,74787599,,"['Drama', 'Romance']",The Prince of Tides
/release/rl2219607553/?ref_=bo_yld_table_24,58422650,90600000.0,149022650,55000000.0,"['Comedy', 'Fantasy', 'Horror']",Death Becomes Her
/release/rl3913778689/?ref_=bo_yld_table_25,58662452,,58662452,,"['Adventure', 'Comedy', 'Family', 'Romance', 'Sci-Fi']","Honey, I Blew Up the Kid"
/release/rl3698755073/?ref_=bo_yld_table_26,57138719,,57138719,,"['Crime', 'Drama', 'Thriller']",Unlawful Entry
/release/rl3477112321/?ref_=bo_yld_table_27,55473545,104340953.0,159814498,50000000.0,"['Action', 'Horror', 'Sci-Fi']",Alien³
/release/rl911771137/?ref_=bo_yld_table_28,119654823,181200000.0,300854823,70000000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Hook
/release/rl1347978753/?ref_=bo_yld_table_29,58500635,36400000.0,94900635,,"['Comedy', 'Romance']",HouseSitter
/release/rl1833207297/?ref_=bo_yld_table_30,57114049,90100000.0,147214049,,"['Comedy', 'Drama', 'Family']",Beethoven
/release/rl72189441/?ref_=bo_yld_table_31,52929168,11159384.0,64088552,,"['Comedy', 'Crime']",My Cousin Vinny
